,제휴사,대분류코드,중분류코드,소분류코드,중분류명,소분류명,분류,고급/일반,내구/준내구/비내구,편의/선매/전문
39,D,2,205,D020502,여성용품,탐폰,일용잡화,일반,내구,편의
40,D,2,205,D020503,여성용품,팬티라이너,일용잡화,일반,내구,편의
41,D,2,205,D020504,여성용품,여성세정제,일용잡화,일반,내구,편의
42,D,5,501,D050101,화장지/티슈,롤티슈,일용잡화,일반,내구,편의
43,D,5,501,D050102,화장지/티슈,각티슈/미용티슈,일용잡화,일반,내구,편의
44,D,5,501,D050103,화장지/티슈,물티슈,일용잡화,일반,내구,편의
45,D,6,608,D060801,계절팩,손난로/핫팩,일용잡화,일반,내구,편의
46,A,1,102,A010201,육류,우육,육류,일반,준내구,편의
47,A,1,102,A010202,육류,돈육,육류,일반,준내구,편의
48,A,1,102,A010203,육류,계육,육류,일반,준내구,편의
49,A,1,102,A010204,육류,갈비세트,육류,일반,준내구,편의
50,A,1,102,A010205,육류,정육세트,육류,일반,준내구,편의
51,A,1,102,A010206,육류,수입육,육류,일반,준내구,편의
52,A,1,102,A010207,육류,양념육,육류,일반,준내구,편의
53,B,46,4601,B460101,우육,일반한우,육류,일반,준내구,편의
54,B,46,4601,B460102,우육,한우 선물세트,육류,일반,준내구,편의
55,B,46,4601,B460103,우육,브랜드한우,육류,일반,준내구,편의
56,B,46,4601,B460104,우육,PB 한우,육류,일반,준내구,편의
57,B,46,4601,B460105,우육,PB 한우 선물세트,육류,일반,준내구,편의
58,B,46,4601,B460106,우육,순한한우,육류,일반,준내구,편의
59,B,46,4602,B460201,수입육,미국산 냉장 소고기,육류,일반,준내구,편의
60,B,46,4602,B460202,수입육,미국산 냉동 소고기,육류,일반,준내구,편의
61,B,46,4602,B460203,수입육,호주산 냉장 소고기,육류,일반,준내구,편의
62,B,46,4602,B460204,수입육,호주산 냉동 소고기,육류,일반,준내구,편의
63,B,46,4602,B460205,수입육,수입육 선물세트,육류,일반,준내구,편의
64,B,46,4602,B460206,수입육,PB 수입 소고기,육류,일반,준내구,편의
65,B,46,4602,B460207,수입육,PB 수입소고기 선물세트,육류,일반,준내구,편의
66,B,46,4602,B460208,수입육,수입 돼지고기,육류,일반,준내구,편의
67,B,46,4602,B460209,수입육,기타 수입육,육류,일반,준내구,편의
68,B,46,4603,B460301,일반한우,한우곰거리,육류,일반,준내구,편의
69,B,46,4603,B460302,일반한우,한우등심,육류,일반,준내구,편의
70,B,46,4603,B460303,일반한우,한우안심,육류,일반,준내구,편의
71,B,46,4603,B460304,일반한우,한우양지,육류,일반,준내구,편의
72,B,46,4603,B460305,일반한우,한우정육,육류,일반,준내구,편의
73,B,46,4603,B460306,일반한우,한우채끝,육류,일반,준내구,편의
74,B,46,4603,B460307,일반한우,한우특수부위,육류,일반,준내구,편의
75,B,46,4603,B460308,일반한우,한우규격,육류,일반,준내구,편의
76,B,46,4604,B460401,한우선물세트,한우냉동선물세트,육류,일반,준내구,편의
77,B,46,4604,B460402,한우선물세트,한우냉장선물세트,육류,일반,준내구,편의
78,B,46,4605,B460501,브랜드한우,산지한우,육류,일반,준내구,편의
79,B,46,4605,B460502,브랜드한우,순한한우,육류,일반,준내구,편의
80,B,46,4605,B460503,브랜드한우,진심한우,육류,일반,준내구,편의
81,B,47,4701,B470101,닭고기,냉동계육,육류,일반,준내구,편의
82,B,47,4701,B470102,닭고기,오골계,육류,일반,준내구,편의
83,B,47,4701,B470103,닭고기,훈제계육,육류,일반,준내구,편의
84,B,47,4701,B470104,닭고기,일반닭,육류,일반,준내구,편의
85,B,47,4701,B470105,닭고기,토종닭,육류,일반,준내구,편의
86,B,47,4701,B470106,닭고기,닭부분육,육류,일반,준내구,편의
87,B,47,4701,B470107,닭고기,오리,육류,일반,준내구,편의
88,B,47,4701,B470108,닭고기,기타육,육류,일반,준내구,편의
89,B,47,4702,B470201,계란,PB 계란,육류,일반,준내구,편의
90,B,47,4702,B470202,계란,일반란,육류,일반,준내구,편의
91,B,47,4702,B470203,계란,차별화계란,육류,일반,준내구,편의
92,B,47,4702,B470204,계란,기타란,육류,일반,준내구,편의
93,B,47,4703,B470301,오리고기,일반오리,육류,일반,준내구,편의
94,B,47,4703,B470302,오리고기,훈제오리,육류,일반,준내구,편의
95,B,48,4801,B480101,양념육,양념육,육류,일반,준내구,편의
96,B,48,4801,B480102,양념육,HMR,육류,일반,준내구,편의
97,B,48,4801,B480103,양념육,육가공품,육류,일반,준내구,편의
98,B,48,4802,B480201,돼지고기,PB 돼지고기,육류,일반,준내구,편의
99,B,48,4802,B480202,돼지고기,NB 돼지고기,육류,일반,준내구,편의
100,B,48,4802,B480203,돼지고기,차별화돼지고기,육류,일반,준내구,편의
101,B,48,4803,B480301,브랜드돼지고기,NB돼지고기,육류,일반,준내구,편의
102,B,48,4803,B480302,브랜드돼지고기,PB돼지고기,육류,일반,준내구,편의
103,B,48,4803,B480303,브랜드돼지고기,소포장팩,육류,일반,준내구,편의
104,B,48,4804,B480401,차별화돼지고기,기능성웰빙돼지고기,육류,일반,준내구,편의
105,B,48,4804,B480402,차별화돼지고기,품종차별화돼지고기,육류,일반,준내구,편의
106,B,48,4805,B480501,온라인돼지고기,온라인돼지고기,육류,일반,준내구,편의
107,B,82,8201,B820101,미국산소고기,미국산냉동소고기,육류,일반,준내구,편의
108,B,82,8201,B820102,미국산소고기,미국산초이스등급소고기,육류,일반,준내구,편의
109,B,82,8201,B820103,미국산소고기,미국산프라임등급소고기,육류,일반,준내구,편의
110,B,82,8202,B820201,호주산소고기,호주산곡물비육,육류,일반,준내구,편의
111,B,82,8202,B820202,호주산소고기,호주산냉동소고기,육류,일반,준내구,편의
112,B,82,8202,B820203,호주산소고기,호주산목초비육,육류,일반,준내구,편의
113,B,82,8202,B820204,호주산소고기,호주산와규,육류,일반,준내구,편의
114,B,82,8202,B820205,호주산소고기,호주산흑소,육류,일반,준내구,편의
115,B,82,8203,B820301,수입육선물세트,수입냉동선물세트,육류,일반,준내구,편의
116,B,82,8203,B820302,수입육선물세트,수입냉장선물세트,육류,일반,준내구,편의
117,B,82,8204,B820401,수입돼지고기,맥시코산돼지고기,육류,일반,준내구,편의
118,B,82,8204,B820402,수입돼지고기,미국산돼지고기,육류,일반,준내구,편의
119,B,82,8204,B820403,수입돼지고기,유럽산돼지고기,육류,일반,준내구,편의
120,B,82,8204,B820404,수입돼지고기,호주산돼지고기,육류,일반,준내구,편의
121,B,82,8205,B820501,기타국소고기,뉴질랜드산소고기,육류,일반,준내구,편의
122,B,82,8205,B820502,기타국소고기,수입산양고기,육류,일반,준내구,편의
123,B,82,8205,B820503,기타국소고기,기타국소고기,육류,일반,준내구,편의
124,B,82,8205,B820504,기타국소고기,캐나다산소고기,육류,일반,준내구,편의
125,B,83,8301,B830101,양념육,닭/오리양념육,육류,일반,준내구,편의
126,B,83,8301,B830102,양념육,돼지양념육,육류,일반,준내구,편의
127,B,83,8301,B830103,양념육,소양념육,육류,일반,준내구,편의
128,B,83,8301,B830104,양념육,냉동양념육,육류,일반,준내구,편의
129,B,89,8901,B890101,계란,메추리알,육류,일반,준내구,편의
130,B,89,8901,B890102,계란,브랜드란,육류,일반,준내구,편의
131,B,89,8901,B890103,계란,일반란,육류,일반,준내구,편의
132,B,89,8901,B890104,계란,차별화계란,육류,일반,준내구,편의
133,C,3,309,C030901,계란류,일반계란,육류,일반,준내구,편의
134,C,3,309,C030902,계란류,가공계란,육류,일반,준내구,편의
135,C,3,309,C030903,계란류,일반메추리알,육류,일반,준내구,편의
136,C,3,309,C030904,계란류,가공메추리알,육류,일반,준내구,편의
137,C,5,501,C050101,국내산우육,한우안심,육류,일반,준내구,편의
138,C,5,501,C050102,국내산우육,한우등심,육류,일반,준내구,편의
139,C,5,501,C050103,국내산우육,한우채끝,육류,일반,준내구,편의
140,C,5,501,C050104,국내산우육,한우목심,육류,일반,준내구,편의
141,C,5,501,C050105,국내산우육,한우앞다리,육류,일반,준내구,편의
142,C,5,501,C050106,국내산우육,한우우둔,육류,일반,준내구,편의
143,C,5,501,C050107,국내산우육,한우설도,육류,일반,준내구,편의
144,C,5,501,C050108,국내산우육,한우양지,육류,일반,준내구,편의
145,C,5,501,C050109,국내산우육,한우사태,육류,일반,준내구,편의
146,C,5,501,C050110,국내산우육,한우갈비,육류,일반,준내구,편의
147,C,5,501,C050111,국내산우육,한우부산물,육류,일반,준내구,편의
148,C,5,501,C050112,국내산우육,한우정육,육류,일반,준내구,편의
149,C,5,501,C050113,국내산우육,한우지육,육류,일반,준내구,편의
150,C,5,501,C050114,국내산우육,한우선물세트,육류,일반,준내구,편의
151,C,5,502,C050201,국내산돈육,국산돼지안심,육류,일반,준내구,편의
152,C,5,502,C050202,국내산돈육,국산돼지등심,육류,일반,준내구,편의
153,C,5,502,C050203,국내산돈육,국산돼지등심덧살,육류,일반,준내구,편의
154,C,5,502,C050204,국내산돈육,국산돼지목심,육류,일반,준내구,편의
155,C,5,502,C050205,국내산돈육,국산돼지앞다리,육류,일반,준내구,편의
156,C,5,502,C050206,국내산돈육,국산돼지사태,육류,일반,준내구,편의
157,C,5,502,C050207,국내산돈육,국산돼지항정살,육류,일반,준내구,편의
158,C,5,502,C050208,국내산돈육,국산돼지뒷다리,육류,일반,준내구,편의
159,C,5,502,C050209,국내산돈육,국산돼지삼겹살,육류,일반,준내구,편의
160,C,5,502,C050210,국내산돈육,국산돼지갈매기살,육류,일반,준내구,편의
161,C,5,502,C050211,국내산돈육,국산돼지등갈비,육류,일반,준내구,편의
162,C,5,502,C050212,국내산돈육,국산돼지갈비,육류,일반,준내구,편의
163,C,5,502,C050213,국내산돈육,국산돼지부산물,육류,일반,준내구,편의
164,C,5,503,C050301,국내산계육,삼계탕용닭,육류,일반,준내구,편의
165,C,5,503,C050302,국내산계육,볶음탕용닭,육류,일반,준내구,편의
166,C,5,503,C050303,국내산계육,닭다리,육류,일반,준내구,편의
167,C,5,503,C050304,국내산계육,닭가슴살,육류,일반,준내구,편의
168,C,5,503,C050305,국내산계육,닭안심,육류,일반,준내구,편의
169,C,5,503,C050306,국내산계육,닭아랫날개(윙),육류,일반,준내구,편의
170,C,5,503,C050307,국내산계육,닭윗날개(봉),육류,일반,준내구,편의
171,C,5,503,C050308,국내산계육,닭근위,육류,일반,준내구,편의
172,C,5,503,C050309,국내산계육,닭정육,육류,일반,준내구,편의
173,C,5,503,C050310,국내산계육,오리고기,육류,일반,준내구,편의
174,C,5,504,C050401,수입우육,미국산소갈비,육류,일반,준내구,편의
175,C,5,504,C050402,수입우육,미국산소목심,육류,일반,준내구,편의
176,C,5,504,C050403,수입우육,미국산소등심,육류,일반,준내구,편의
177,C,5,504,C050404,수입우육,미국산소앞다리,육류,일반,준내구,편의
178,C,5,504,C050405,수입우육,미국산소양지,육류,일반,준내구,편의
179,C,5,504,C050406,수입우육,미국산소토시살,육류,일반,준내구,편의
180,C,5,504,C050407,수입우육,미국산소기타육,육류,일반,준내구,편의
181,C,5,504,C050408,수입우육,호주산소갈비,육류,일반,준내구,편의
182,C,5,504,C050409,수입우육,호주산소목심,육류,일반,준내구,편의
183,C,5,504,C050410,수입우육,호주산소등심,육류,일반,준내구,편의
184,C,5,504,C050411,수입우육,호주산소채끝,육류,일반,준내구,편의
185,C,5,504,C050412,수입우육,호주산소안심,육류,일반,준내구,편의
186,C,5,504,C050413,수입우육,호주산소설도,육류,일반,준내구,편의
187,C,5,504,C050414,수입우육,호주산소앞다리,육류,일반,준내구,편의
188,C,5,504,C050415,수입우육,호주산소양지,육류,일반,준내구,편의
189,C,5,504,C050416,수입우육,호주산소우둔,육류,일반,준내구,편의
190,C,5,504,C050417,수입우육,호주산소사태,육류,일반,준내구,편의
191,C,5,504,C050418,수입우육,호주산소안창살,육류,일반,준내구,편의
192,C,5,504,C050419,수입우육,호주산소토시살,육류,일반,준내구,편의
193,C,5,504,C050420,수입우육,호주산소기타육,육류,일반,준내구,편의
194,C,5,504,C050421,수입우육,수입산소갈비,육류,일반,준내구,편의
195,C,5,504,C050422,수입우육,수입산소목심,육류,일반,준내구,편의
196,C,5,504,C050423,수입우육,수입산소사태,육류,일반,준내구,편의
197,C,5,504,C050424,수입우육,수입소고기선물세트,육류,일반,준내구,편의
198,C,5,505,C050501,수입돈육,수입돼지삼겹살,육류,일반,준내구,편의
199,C,5,505,C050502,수입돈육,수입돼지목심,육류,일반,준내구,편의
200,C,5,505,C050503,수입돈육,수입돼지정육,육류,일반,준내구,편의
201,C,5,506,C050601,기타축산,닭/오리양념육,육류,일반,준내구,편의
202,C,5,506,C050602,기타축산,돼지양념육,육류,일반,준내구,편의
203,C,5,506,C050603,기타축산,소양념육,육류,일반,준내구,편의
204,C,5,506,C050604,기타축산,기타양념육,육류,일반,준내구,편의
205,C,5,506,C050605,기타축산,돈가스,육류,일반,준내구,편의
206,A,1,103,A010301,축산가공,햄,축산가공,고급,비내구,편의
207,A,1,103,A010302,축산가공,유제품,축산가공,고급,비내구,편의
208,A,1,103,A010303,축산가공,직매입,축산가공,고급,비내구,편의
209,A,1,103,A010304,축산가공,화과자,축산가공,고급,비내구,편의
210,A,1,103,A010305,축산가공,햄세트,축산가공,고급,비내구,편의
211,A,1,103,A010306,축산가공,친환경올가,축산가공,고급,비내구,편의
212,B,7,709,B070901,육포,국산육포,축산가공,고급,비내구,편의
213,B,7,709,B070902,육포,돈닭치즈육포,축산가공,고급,비내구,편의
214,B,7,709,B070903,육포,수입산육포,축산가공,고급,비내구,편의
215,B,83,8302,B830201,육가공품,돈가스,축산가공,고급,비내구,편의
216,B,83,8302,B830202,육가공품,소시지,축산가공,고급,비내구,편의
217,B,83,8302,B830203,육가공품,스테이크,축산가공,고급,비내구,편의
218,B,83,8302,B830204,육가공품,햄류,축산가공,고급,비내구,편의
219,B,83,8302,B830205,육가공품,냉동육가공품,축산가공,고급,비내구,편의
220,A,1,104,A010401,농산물,청과,농산물,일반,비내구,편의
221,A,1,104,A010402,농산물,채소,농산물,일반,비내구,편의
222,A,1,104,A010403,농산물,유기농채소,농산물,일반,비내구,편의
223,A,1,104,A010404,농산물,농산가공,농산물,일반,비내구,편의
224,A,1,104,A010405,농산물,건과,농산물,일반,비내구,편의
225,A,1,104,A010406,농산물,선식(가루류),농산물,일반,비내구,편의
226,A,1,104,A010407,농산물,곡물,농산물,일반,비내구,편의
227,A,1,104,A010408,농산물,농산단기행사,농산물,일반,비내구,편의
228,A,1,104,A010409,농산물,청과세트,농산물,일반,비내구,편의
229,A,1,104,A010410,농산물,건과세트,농산물,일반,비내구,편의
230,A,1,104,A010411,농산물,곶감/송이세트,농산물,일반,비내구,편의
231,A,1,104,A010412,농산물,수삼/더덕세트,농산물,일반,비내구,편의
232,A,1,104,A010413,농산물,친환경세트,농산물,일반,비내구,편의
233,A,1,104,A010414,농산물,농산단기행사,농산물,일반,비내구,편의
234,B,1,101,B010101,열매채소,가지,농산물,일반,비내구,편의
235,B,1,101,B010102,열매채소,고추,농산물,일반,비내구,편의
236,B,1,101,B010103,열매채소,구색 호박,농산물,일반,비내구,편의
237,B,1,101,B010104,열매채소,기타열매채소,농산물,일반,비내구,편의
238,B,1,101,B010105,열매채소,단호박,농산물,일반,비내구,편의
239,B,1,101,B010106,열매채소,애호박,농산물,일반,비내구,편의
240,B,1,101,B010107,열매채소,여주,농산물,일반,비내구,편의
241,B,1,101,B010108,열매채소,오이,농산물,일반,비내구,편의
242,B,1,101,B010109,열매채소,옥수수,농산물,일반,비내구,편의
243,B,1,101,B010110,열매채소,친환경열매채소,농산물,일반,비내구,편의
244,B,1,101,B010111,열매채소,콩류,농산물,일반,비내구,편의
245,B,1,101,B010112,열매채소,피망,농산물,일반,비내구,편의
246,B,1,102,B010201,버섯,건버섯,농산물,일반,비내구,편의
247,B,1,102,B010202,버섯,느타리버섯,농산물,일반,비내구,편의
248,B,1,102,B010203,버섯,버섯모둠,농산물,일반,비내구,편의
249,B,1,102,B010204,버섯,버섯선물세트,농산물,일반,비내구,편의
250,B,1,102,B010205,버섯,새송이버섯,농산물,일반,비내구,편의
251,B,1,102,B010206,버섯,양송이버섯,농산물,일반,비내구,편의
252,B,1,102,B010207,버섯,이색버섯,농산물,일반,비내구,편의
253,B,1,102,B010208,버섯,팽이버섯,농산물,일반,비내구,편의
254,B,1,102,B010209,버섯,표고버섯,농산물,일반,비내구,편의
255,B,1,103,B010301,온라인버섯/열매채소,온라인열매채소,농산물,일반,비내구,편의
256,B,4,401,B040101,양곡,일반미,농산물,일반,비내구,편의
257,B,4,401,B040102,양곡,기능성미,농산물,일반,비내구,편의
258,B,4,401,B040103,양곡,친환경양곡,농산물,일반,비내구,편의
259,B,4,402,B040201,잡곡류,미곡류,농산물,일반,비내구,편의
260,B,4,402,B040202,잡곡류,콩류,농산물,일반,비내구,편의
261,B,4,402,B040203,잡곡류,보리류,농산물,일반,비내구,편의
262,B,4,402,B040204,잡곡류,잡곡기타,농산물,일반,비내구,편의
263,B,4,402,B040205,잡곡류,혼합잡곡,농산물,일반,비내구,편의
264,B,4,402,B040206,잡곡류,친환경잡곡,농산물,일반,비내구,편의
265,B,4,402,B040207,잡곡류,벌크잡곡,농산물,일반,비내구,편의
266,B,4,403,B040301,즉석도정미,즉석도정미,농산물,일반,비내구,편의
267,B,4,403,B040302,즉석도정미,친환경도정미,농산물,일반,비내구,편의
268,B,4,404,B040401,가공양곡,양곡가공,농산물,일반,비내구,편의
269,B,5,501,B050101,잎채소,시금치,농산물,일반,비내구,편의
270,B,5,501,B050102,잎채소,상추,농산물,일반,비내구,편의
271,B,5,501,B050103,잎채소,미나리,농산물,일반,비내구,편의
272,B,5,501,B050104,잎채소,부추,농산물,일반,비내구,편의
273,B,5,501,B050105,잎채소,쑥갓,농산물,일반,비내구,편의
274,B,5,501,B050106,잎채소,깻잎,농산물,일반,비내구,편의
275,B,5,501,B050107,잎채소,얼갈이,농산물,일반,비내구,편의
276,B,5,501,B050108,잎채소,아욱,농산물,일반,비내구,편의
277,B,5,501,B050109,잎채소,근대,농산물,일반,비내구,편의
278,B,5,501,B050110,잎채소,양배추,농산물,일반,비내구,편의
279,B,5,501,B050111,잎채소,기타잎채소,농산물,일반,비내구,편의
280,B,5,501,B050112,잎채소,쌈채소,농산물,일반,비내구,편의
281,B,5,501,B050113,잎채소,봄동,농산물,일반,비내구,편의
282,B,5,501,B050114,잎채소,죽순,농산물,일반,비내구,편의
283,B,5,501,B050115,잎채소,고구마순,농산물,일반,비내구,편의
284,B,5,501,B050116,잎채소,생나물,농산물,일반,비내구,편의
285,B,5,501,B050117,잎채소,친환경채소(특약),농산물,일반,비내구,편의
286,B,5,501,B050118,잎채소,친환경잎채소,농산물,일반,비내구,편의
287,B,5,501,B050119,잎채소,온라인 잎채소,농산물,일반,비내구,편의
288,B,5,502,B050201,뿌리채소,감자,농산물,일반,비내구,편의
289,B,5,502,B050202,뿌리채소,고구마,농산물,일반,비내구,편의
290,B,5,502,B050203,뿌리채소,당근,농산물,일반,비내구,편의
291,B,5,502,B050204,뿌리채소,연근,농산물,일반,비내구,편의
292,B,5,502,B050205,뿌리채소,우엉,농산물,일반,비내구,편의
293,B,5,502,B050206,뿌리채소,마,농산물,일반,비내구,편의
294,B,5,502,B050207,뿌리채소,기타뿌리채소,농산물,일반,비내구,편의
295,B,5,503,B050301,열매채소,오이,농산물,일반,비내구,편의
296,B,5,503,B050302,열매채소,고추,농산물,일반,비내구,편의
297,B,5,503,B050303,열매채소,피망,농산물,일반,비내구,편의
298,B,5,503,B050304,열매채소,콩류,농산물,일반,비내구,편의
299,B,5,503,B050305,열매채소,옥수수,농산물,일반,비내구,편의
300,B,5,503,B050306,열매채소,가지,농산물,일반,비내구,편의
301,B,5,503,B050307,열매채소,기타과채류,농산물,일반,비내구,편의
302,B,5,503,B050308,열매채소,애호박,농산물,일반,비내구,편의
303,B,5,503,B050309,열매채소,단호박,농산물,일반,비내구,편의
304,B,5,503,B050310,열매채소,기타호박,농산물,일반,비내구,편의
305,B,5,503,B050311,열매채소,다다기오이,농산물,일반,비내구,편의
306,B,5,503,B050312,열매채소,취청오이,농산물,일반,비내구,편의
307,B,5,503,B050313,열매채소,가시오이,농산물,일반,비내구,편의
308,B,5,503,B050314,열매채소,기타오이,농산물,일반,비내구,편의
309,B,5,504,B050401,버섯류,건버섯,농산물,일반,비내구,편의
310,B,5,504,B050402,버섯류,버섯모둠,농산물,일반,비내구,편의
311,B,5,504,B050403,버섯류,친환경팽이버섯,농산물,일반,비내구,편의
312,B,5,504,B050404,버섯류,표고버섯,농산물,일반,비내구,편의
313,B,5,504,B050405,버섯류,일반느타리버섯,농산물,일반,비내구,편의
314,B,5,504,B050406,버섯류,양송이버섯,농산물,일반,비내구,편의
315,B,5,504,B050407,버섯류,새송이버섯,농산물,일반,비내구,편의
316,B,5,504,B050408,버섯류,기타버섯,농산물,일반,비내구,편의
317,B,5,504,B050409,버섯류,친환경참맛느타리,농산물,일반,비내구,편의
318,B,5,504,B050410,버섯류,버섯류 선물세트,농산물,일반,비내구,편의
319,B,5,505,B050501,샐러드채소,파프리카,농산물,일반,비내구,편의
320,B,5,505,B050502,샐러드채소,양상추,농산물,일반,비내구,편의
321,B,5,505,B050503,샐러드채소,브로콜리,농산물,일반,비내구,편의
322,B,5,505,B050504,샐러드채소,구색양채,농산물,일반,비내구,편의
323,B,5,505,B050505,샐러드채소,기타양채,농산물,일반,비내구,편의
324,B,5,505,B050506,샐러드채소,즙용양채,농산물,일반,비내구,편의
325,B,5,505,B050507,샐러드채소,아스파라거스,농산물,일반,비내구,편의
326,B,5,505,B050508,샐러드채소,샐러드채소,농산물,일반,비내구,편의
327,B,5,505,B050509,샐러드채소,구색샐러드채소,농산물,일반,비내구,편의
328,B,5,505,B050510,샐러드채소,즙용샐러드채소,농산물,일반,비내구,편의
329,B,5,505,B050511,샐러드채소,친환경샐러드채소,농산물,일반,비내구,편의
330,B,5,505,B050512,샐러드채소,향신채소,농산물,일반,비내구,편의
331,B,5,506,B050601,약초,인삼,농산물,일반,비내구,편의
332,B,5,506,B050602,약초,기타약초,농산물,일반,비내구,편의
333,B,5,506,B050603,약초,더덕,농산물,일반,비내구,편의
334,B,5,506,B050604,약초,백련초,농산물,일반,비내구,편의
335,B,5,506,B050605,약초,황기,농산물,일반,비내구,편의
336,B,5,506,B050606,약초,구기자,농산물,일반,비내구,편의
337,B,5,506,B050607,약초,둥글레,농산물,일반,비내구,편의
338,B,5,509,B050901,친환경채소,친환경쌈채소,농산물,일반,비내구,편의
339,B,5,509,B050902,친환경채소,친환경뿌리채소,농산물,일반,비내구,편의
340,B,5,509,B050903,친환경채소,친환경열매채소,농산물,일반,비내구,편의
341,B,5,509,B050904,친환경채소,친환경샐러드채소,농산물,일반,비내구,편의
342,B,5,509,B050905,친환경채소,친환경양념채소,농산물,일반,비내구,편의
343,B,5,509,B050906,친환경채소,친환경잎채소,농산물,일반,비내구,편의
344,B,5,510,B051001,김치채소,친환경김치채소,농산물,일반,비내구,편의
345,B,5,510,B051002,김치채소,배추,농산물,일반,비내구,편의
346,B,5,510,B051003,김치채소,얼갈이,농산물,일반,비내구,편의
347,B,5,510,B051004,김치채소,열무,농산물,일반,비내구,편의
348,B,5,510,B051005,김치채소,무우,농산물,일반,비내구,편의
349,B,5,510,B051006,김치채소,갓,농산물,일반,비내구,편의
350,B,5,510,B051007,김치채소,알타리무,농산물,일반,비내구,편의
351,B,5,511,B051101,온라인잎/샐러드채소,온라인잎채소,농산물,일반,비내구,편의
352,B,5,512,B051201,LOCAL잎채소,Local근대,농산물,일반,비내구,편의
353,B,5,512,B051202,LOCAL잎채소,Local기타잎채소,농산물,일반,비내구,편의
354,B,5,512,B051203,LOCAL잎채소,Local깻잎,농산물,일반,비내구,편의
355,B,5,512,B051204,LOCAL잎채소,Local미나리,농산물,일반,비내구,편의
356,B,5,512,B051205,LOCAL잎채소,Local부추,농산물,일반,비내구,편의
357,B,5,512,B051206,LOCAL잎채소,Local상추,농산물,일반,비내구,편의
358,B,5,512,B051207,LOCAL잎채소,Local시금치,농산물,일반,비내구,편의
359,B,5,512,B051208,LOCAL잎채소,Local쌈채소,농산물,일반,비내구,편의
360,B,5,512,B051209,LOCAL잎채소,Local쑥갓,농산물,일반,비내구,편의
361,B,5,512,B051210,LOCAL잎채소,Local아욱,농산물,일반,비내구,편의
362,B,5,512,B051211,LOCAL잎채소,Local양배추,농산물,일반,비내구,편의
363,B,5,513,B051301,LOCAL김치채소,Local갓,농산물,일반,비내구,편의
364,B,5,513,B051302,LOCAL김치채소,Local무우,농산물,일반,비내구,편의
