고객번호,fluctuation,Monetary,cagr,A_Monetary_실제지출,B_Monetary_실제지출,C_Monetary_실제지출,D_Monetary_실제지출,A_fluctuation,B_fluctuation,C_fluctuation,D_fluctuation,고급_fluctuation,일반_fluctuation,편의_fluctuation,선매_fluctuation,전문_fluctuation,predict
12,-4.0,4460822.0,0.6183917629981364,4189590.0,2043377.0,0.0,177000.0,0.001,0.001,0.001,0.001,-5.0,0.0,-1.0,-4.0,0.0,1
13,-1.0,14034343.0,0.0379602229903843,6669080.0,10416706.0,624060.0,0.0,-1.0,0.0,-2.0,0.001,0.0,0.0,0.0,0.0,0.0,1
14,1.0,27895756.0,-0.1067092817054737,29826400.0,2196398.0,2544938.0,0.0,0.0,2.0,1.0,0.001,0.0,1.0,1.0,0.0,1.0,0
15,2.0,19835577.0,-0.2093371448317427,19921950.0,4773697.0,419597.0,0.0,1.0,-1.0,1.0,0.001,2.0,-1.0,-1.0,2.0,1.0,0
16,-2.0,8452195.0,0.1770764669316009,10596770.0,329835.0,3500.0,0.0,0.001,0.001,0.001,0.001,-3.0,0.0,0.0,-3.0,-1.0,1
17,0.0,89598347.0,-0.0439054889396344,138194630.0,3970978.0,653497.0,0.0,0.0,-4.0,-4.0,0.001,1.0,0.0,-7.0,0.0,0.0,0
18,5.0,38563519.0,-0.4160482145555547,80016940.0,289022.0,303097.0,0.0,4.0,0.001,-3.0,0.001,4.0,4.0,2.0,4.0,2.0,0
19,0.0,31503860.0,0.055300017031564,42891100.0,8020.0,9750.0,39500.0,0.001,0.001,0.001,0.001,-1.0,-1.0,0.0,-1.0,5.0,1
20,1.0,16384280.0,-0.0510020135312442,22661290.0,12000.0,49220.0,0.0,0.001,0.001,0.001,0.001,1.0,1.0,2.0,0.0,1.0,0
21,-1.0,17698221.0,0.0490422127631287,2320100.0,20394474.0,4990.0,0.0,0.001,-1.0,0.001,0.001,0.0,-1.0,0.0,0.0,-1.0,1
22,4.0,112163220.0,-0.3963217612051941,145690570.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,3.0,-1.0,-1.0,1.0,5.0,0
23,-1.0,64370017.0,0.0111152687793094,77962800.0,240311.0,421320.0,0.0,0.0,0.001,0.001,0.001,-1.0,2.0,2.0,-1.0,0.0,0
24,1.0,9319443.0,-0.0234228298864463,2513400.0,9553958.0,0.0,13000.0,1.0,0.0,0.001,-4.0,0.0,0.0,-1.0,0.0,5.0,0
25,1.0,29569501.0,-0.0348414213367798,46048250.0,322500.0,477693.0,0.0,0.001,0.001,0.001,0.001,0.0,1.0,0.0,0.0,0.0,1
26,2.0,100808546.0,-0.1515903082053286,126544250.0,594525.0,58089.0,35000.0,2.0,-3.0,0.001,0.001,2.0,0.0,-1.0,1.0,5.0,0
27,-1.0,42678766.0,0.1759092997841889,59797470.0,226426.0,37120.0,0.0,0.001,0.001,0.001,0.001,-2.0,-1.0,-1.0,-1.0,0.0,1
28,-1.0,7088510.0,0.0737427350528565,1875920.0,6791290.0,9990.0,0.0,-5.0,1.0,0.001,0.001,-1.0,0.0,0.0,-1.0,2.0,1
29,0.0,62722560.0,-0.1130941298548868,83474650.0,2336211.0,151510.0,0.0,1.0,-1.0,-4.0,0.001,1.0,1.0,0.0,0.0,0.0,0
30,0.0,81693637.0,-0.0026060414793667,97446890.0,59000.0,8610176.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,1.0,-2.0,0.0,1
31,-1.0,10536140.0,0.0613749268288723,13521910.0,16200.0,4210.0,6300.0,0.001,0.001,0.001,0.001,-1.0,-1.0,0.0,-1.0,3.0,0
32,-1.0,14939169.0,0.0072348646401032,7389970.0,12154417.0,0.0,0.0,1.0,-2.0,0.001,0.001,0.0,-1.0,-1.0,0.0,0.0,0
33,0.0,7770752.0,0.0132129902393516,259300.0,9819012.0,464773.0,0.0,0.001,0.0,1.0,0.001,1.0,0.0,0.0,1.0,3.0,1
34,2.0,12495490.0,-0.1596225820421369,14932280.0,25800.0,165140.0,0.0,1.0,0.001,0.001,0.001,1.0,5.0,5.0,2.0,-5.0,0
35,0.0,33638760.0,0.0099959682199592,41612080.0,3030926.0,0.0,58000.0,0.001,0.001,0.001,0.001,-1.0,1.0,0.0,0.0,0.0,0
36,1.0,35893369.0,-0.0932932455264502,42654150.0,443650.0,411543.0,0.0,0.0,0.001,-4.0,0.001,0.0,1.0,1.0,0.0,0.0,0
37,-1.0,51280690.0,0.1240399057542203,60499890.0,261900.0,16480.0,0.0,0.001,0.001,0.001,0.001,-1.0,-2.0,0.0,-2.0,0.0,0
38,-1.0,17305091.0,0.0822575902293327,6037800.0,14683771.0,2913884.0,0.0,-1.0,0.0,0.0,0.001,-1.0,-1.0,-1.0,-1.0,-1.0,1
39,1.0,119082978.0,-0.1988669101493273,207638250.0,0.0,75092.0,0.0,0.001,0.001,0.001,0.001,0.0,1.0,1.0,5.0,0.0,0
40,-1.0,20929154.0,0.0527714929194367,24082860.0,1801779.0,377431.0,0.0,-1.0,0.0,0.001,0.001,0.0,1.0,1.0,-3.0,0.0,0
41,1.0,13951110.0,-0.0959476910075682,16499610.0,1850600.0,313000.0,0.0,1.0,-3.0,-1.0,0.001,1.0,2.0,1.0,1.0,2.0,0
42,0.0,11500166.0,-0.0001011208762144,1774700.0,14011288.0,162464.0,0.0,-3.0,1.0,0.001,0.001,1.0,-1.0,-1.0,1.0,1.0,1
43,-1.0,5751502.0,0.0297361229165986,1771520.0,5745487.0,16120.0,0.0,0.001,0.0,0.001,0.001,2.0,-1.0,0.0,1.0,0.0,1
44,-1.0,75744130.0,0.2304363583295863,107799850.0,656434.0,2032606.0,0.0,-2.0,0.0,0.0,0.001,-2.0,1.0,1.0,1.0,0.0,0
45,-4.0,159354431.0,0.6183907148150325,228861110.0,1138101.0,38200.0,0.0,-4.0,1.0,-4.0,0.001,-4.0,-1.0,-1.0,-1.0,0.0,1
46,0.0,84469720.0,-0.0699261811294801,133934300.0,230820.0,15830.0,0.0,0.001,0.001,0.001,0.001,0.0,-1.0,-1.0,-3.0,0.0,0
47,3.0,15780564.0,-0.2131036311019852,7804360.0,12960546.0,22410.0,0.0,1.0,3.0,0.001,0.001,1.0,5.0,5.0,1.0,5.0,0
48,0.0,65815600.0,-0.0183536131747455,82326450.0,328370.0,518820.0,0.0,0.001,0.001,0.001,0.001,-1.0,3.0,-1.0,-1.0,0.0,0
49,-1.0,72000190.0,0.1445233678915738,91404670.0,25194.0,4990.0,0.0,0.001,0.001,0.001,0.001,-1.0,2.0,1.0,-4.0,0.0,0
50,0.0,18887795.0,-0.0862931681424968,21536840.0,2842000.0,830681.0,0.0,1.0,0.0,-1.0,0.001,0.0,1.0,1.0,1.0,-4.0,0
51,2.0,15425852.0,-0.1451397872190981,16060820.0,6068759.0,0.0,70500.0,0.0,1.0,0.001,-1.0,2.0,2.0,2.0,1.0,3.0,0
52,0.0,27160970.0,-0.0571379944099861,36845330.0,20800.0,111540.0,0.0,0.001,0.001,0.001,0.001,1.0,-2.0,-1.0,2.0,-2.0,0
53,3.0,45973621.0,-0.3213872820269322,48946570.0,818875.0,2783197.0,0.0,0.001,0.001,0.001,0.001,4.0,-1.0,0.0,4.0,1.0,0
54,2.0,7693030.0,-0.1180474384668883,10563990.0,31600.0,42640.0,18000.0,0.001,0.001,0.001,0.001,1.0,0.0,1.0,2.0,1.0,0
55,-1.0,6088367.0,0.0877354510755379,30000.0,1057360.0,6515769.0,0.0,-2.0,-3.0,0.0,0.001,0.0,0.0,0.0,-1.0,0.001,1
56,2.0,65304803.0,-0.2147863516387967,92360310.0,56940.0,164763.0,0.0,2.0,0.001,0.001,0.001,2.0,-1.0,-1.0,0.0,0.0,0
57,1.0,7801023.0,-0.0282476685236877,88000.0,1935480.0,8306510.0,0.0,0.001,-2.0,1.0,0.001,0.0,1.0,1.0,0.0,0.0,0
58,1.0,18156860.0,-0.0419695380723048,26503190.0,21470.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,1.0,0
59,1.0,20038498.0,-0.0884456681836686,26621650.0,626612.0,18490.0,0.0,0.0,-3.0,0.001,0.001,1.0,-1.0,-1.0,1.0,0.0,0
60,-1.0,21909264.0,0.0326032978948476,18418390.0,12015209.0,62770.0,0.0,-1.0,1.0,-2.0,0.001,0.0,0.0,1.0,0.0,-3.0,0
61,0.0,17551672.0,-0.0558216226058584,19196800.0,3310906.0,4350397.0,0.0,1.0,0.0,-1.0,0.001,0.0,2.0,2.0,0.0,0.0,0
62,1.0,17269950.0,-0.118526919719316,17406610.0,3675554.0,103158.0,0.0,1.0,1.0,-4.0,0.001,0.0,3.0,3.0,0.0,3.0,0
63,0.0,5120570.0,0.0348982735634038,6147420.0,13000.0,10960.0,0.0,0.001,0.001,0.001,0.001,1.0,0.0,1.0,-1.0,0.0,0
64,1.0,2862754.0,-0.3856677594027606,26300.0,3822829.0,2990.0,0.0,0.001,2.0,-1.0,0.001,2.0,2.0,3.0,1.0,2.0,0
65,1.0,15160223.0,-0.0757234907869907,17120670.0,2222204.0,10700.0,0.0,0.001,0.001,0.001,0.001,1.0,0.0,1.0,1.0,-1.0,0
66,0.0,13106401.0,0.013038814450736,7775700.0,10512196.0,52630.0,0.0,-1.0,0.0,0.001,0.001,1.0,0.0,0.0,0.0,0.0,1
67,-1.0,8284763.0,0.0906878528187264,728000.0,9998657.0,11490.0,0.0,0.001,-2.0,0.001,0.001,1.0,-1.0,-2.0,0.0,4.0,1
68,0.0,195875618.0,-0.1907592111269501,64645160.0,238627885.0,17800.0,0.0,-1.0,0.0,0.001,0.001,0.0,-1.0,-1.0,0.0,2.0,0
69,0.0,12050102.0,0.0458627220146228,3870.0,571980.0,15156778.0,0.0,0.001,-3.0,-1.0,0.001,0.0,0.0,0.0,0.0,0.0,1
70,0.0,22305840.0,0.0241117690323424,32131640.0,15000.0,129670.0,0.0,0.001,0.001,0.001,0.001,-1.0,3.0,4.0,-1.0,0.0,1
71,0.0,3805961.0,0.036106982098224,30530.0,4644570.0,97534.0,0.0,0.001,0.0,-3.0,0.001,0.0,-1.0,-1.0,1.0,3.0,0
72,-1.0,7223908.0,0.1250224427134618,1444560.0,8349605.0,21050.0,0.0,-2.0,-1.0,0.001,0.001,0.0,-1.0,-1.0,0.0,0.0,1
73,0.0,179854700.0,-0.035707870263771,231206400.0,984280.0,17430.0,0.0,0.0,-1.0,0.001,0.001,0.0,6.0,3.0,1.0,0.0,0
74,5.0,25155180.0,-0.3677041822997302,30591030.0,990070.0,406800.0,0.0,3.0,-1.0,-5.0,0.001,4.0,0.0,1.0,4.0,4.0,0
75,0.0,3947131.0,-0.0395643377608486,3954580.0,8800.0,1198982.0,0.0,0.0,0.001,1.0,0.001,0.0,1.0,0.0,1.0,0.001,0
76,0.0,9088599.0,-0.0364136379422127,10594530.0,1230300.0,441814.0,0.0,0.0,0.001,-1.0,0.001,0.0,0.0,0.0,1.0,-4.0,0
77,1.0,24800796.0,-0.0844015543690889,33302290.0,3045346.0,0.0,0.0,0.001,0.001,0.001,0.001,1.0,0.0,1.0,0.0,1.0,0
78,-1.0,71248737.0,0.1203338567464427,87200300.0,4979157.0,186446.0,0.0,0.001,0.001,0.001,0.001,-1.0,-3.0,-3.0,-2.0,0.0,1
79,0.0,12437605.0,0.0385061290490595,4431080.0,11398047.0,99230.0,0.0,0.0,0.0,-4.0,0.001,1.0,-1.0,-1.0,1.0,0.0,1
80,0.0,7601675.0,0.0690336724702325,3820830.0,1211701.0,5850699.0,0.0,1.0,-1.0,-1.0,0.001,1.0,-1.0,-1.0,1.0,-2.0,1
81,-2.0,55613498.0,0.2520265854392043,73542730.0,758078.0,24070.0,0.0,0.001,0.001,0.001,0.001,-2.0,0.0,0.0,0.0,0.0,1
82,-1.0,113325460.0,0.2558380722479396,148034120.0,6148050.0,138920.0,0.0,-2.0,1.0,-1.0,0.001,-1.0,2.0,3.0,-1.0,0.0,1
83,-1.0,104823559.0,0.2121648547274393,121095040.0,1287009.0,14900.0,0.0,-1.0,2.0,-3.0,0.001,-1.0,0.0,0.0,-3.0,0.0,0
84,2.0,48493080.0,-0.0985069802833542,62506090.0,710080.0,28730.0,0.0,0.0,-1.0,0.001,0.001,0.0,1.0,0.0,0.0,2.0,0
85,-2.0,10713160.0,0.2498243679544687,14130000.0,0.0,19980.0,51050.0,0.001,0.001,0.001,0.001,-1.0,-3.0,-4.0,0.0,-1.0,1
86,0.0,30042901.0,-0.0021717602269794,25691390.0,15114176.0,23950.0,13000.0,0.0,0.0,-3.0,0.001,-1.0,1.0,-1.0,1.0,-5.0,0
87,1.0,29404842.0,-0.1183609558505383,50519230.0,163900.0,922012.0,0.0,0.0,0.001,0.0,0.001,1.0,2.0,2.0,2.0,-5.0,1
88,0.0,39446338.0,-0.1205819468001442,56941190.0,6691098.0,56204.0,0.0,1.0,0.0,-3.0,0.001,0.0,2.0,2.0,0.0,3.0,0
89,2.0,12864757.0,-0.1452439813150469,5927820.0,8693919.0,1374467.0,1800.0,1.0,0.0,0.0,0.001,2.0,-1.0,0.0,2.0,3.0,0
90,-1.0,48004022.0,0.182850647029179,56185980.0,1589950.0,66152.0,0.0,-1.0,-2.0,0.001,0.001,-1.0,-2.0,-2.0,-2.0,1.0,1
91,-1.0,14770700.0,0.0109423140875264,17632590.0,477549.0,953398.0,0.0,0.0,-3.0,0.0,0.001,-1.0,1.0,1.0,-1.0,0.0,0
92,-1.0,41363746.0,0.103182315207833,43975940.0,7216819.0,5156026.0,0.0,-1.0,0.0,0.0,0.001,-1.0,0.0,-1.0,-1.0,-5.0,1
93,0.0,89345530.0,0.0702284943073818,116030800.0,86657.0,38780.0,0.0,0.001,0.001,0.001,0.001,0.0,-3.0,-3.0,0.0,0.0,1
94,-7.0,39947197.0,1.0501558693247637,71467070.0,831391.0,283186.0,0.0,0.001,0.001,0.001,0.001,-4.0,-4.0,-5.0,-3.0,-5.0,1
95,0.0,6020632.0,0.0215598619236954,2125140.0,5695791.0,139810.0,3000.0,-1.0,0.0,1.0,0.001,0.0,0.0,1.0,-1.0,0.0,1
96,2.0,25715930.0,-0.2057656523722707,31928900.0,119030.0,0.0,0.0,0.001,0.001,0.001,0.001,2.0,1.0,0.0,2.0,5.0,0
97,0.0,761046324.0,-0.020715151297833,973521540.0,1039013.0,4993353.0,0.0,0.0,0.001,0.0,0.001,0.0,-3.0,-1.0,0.0,-3.0,0
98,0.0,17469793.0,0.0155498434838894,20610650.0,1575537.0,0.0,3900.0,0.001,0.001,0.001,0.001,-1.0,2.0,2.0,-2.0,0.0,1
99,0.0,195207751.0,0.0459557910771817,252036830.0,5849166.0,113770.0,0.0,0.0,0.0,0.001,0.001,0.0,1.0,0.0,1.0,0.0,0
100,2.0,26439913.0,-0.1894815598484158,24699940.0,2893727.0,41640.0,0.0,0.001,0.001,0.001,0.001,2.0,0.0,-2.0,1.0,0.0,0
101,-2.0,4516269.0,0.1669367313276879,4798400.0,2213581.0,28270.0,0.0,0.0,-1.0,0.001,0.001,0.0,-2.0,-2.0,-1.0,0.0,1
102,1.0,65357456.0,-0.1284967190017968,101579750.0,6474774.0,5534110.0,0.0,1.0,2.0,0.0,0.001,1.0,0.0,0.0,1.0,0.0,0
103,-1.0,3573684.0,0.0991311139536992,458600.0,582460.0,3699758.0,0.0,-3.0,0.0,-1.0,0.001,-1.0,-1.0,0.0,-1.0,0.001,1
104,0.0,12431905.0,0.022160646233881,1954700.0,13745250.0,58080.0,0.0,-2.0,-1.0,-2.0,0.001,-1.0,0.0,0.0,0.0,0.0,1
105,0.0,17732700.0,0.0216256573773603,3669570.0,18913640.0,35840.0,0.0,-2.0,1.0,0.001,0.001,-2.0,1.0,2.0,-2.0,-2.0,0
106,0.0,45513859.0,-0.043671691632186,69379230.0,299768.0,202621.0,0.0,1.0,-3.0,0.001,0.001,0.0,3.0,3.0,0.0,1.0,1
107,0.0,94395670.0,-0.0710259051443304,134042720.0,12280.0,1024865.0,0.0,1.0,0.001,0.0,0.001,0.0,-1.0,-1.0,-1.0,0.0,0
108,-1.0,10281310.0,0.1033452146705997,14093570.0,776250.0,1980.0,0.0,0.001,0.001,0.001,0.001,0.0,-1.0,-2.0,0.0,-2.0,1
109,2.0,6111553.0,-0.0704913960490708,136200.0,344770.0,8359199.0,0.0,-1.0,0.001,1.0,0.001,-1.0,2.0,2.0,-1.0,0.0,0
110,0.0,22808302.0,-0.0114940676974133,22999790.0,3192219.0,797486.0,8400.0,0.001,0.001,0.001,0.001,0.0,0.0,1.0,0.0,2.0,0
111,-1.0,3895321.0,0.0589725554531115,70500.0,1691249.0,3440282.0,0.0,0.001,-1.0,0.0,0.001,1.0,0.0,0.0,0.0,0.001,1
112,-2.0,55775479.0,0.2586287571247201,98854890.0,1887765.0,138601.0,0.0,-2.0,0.0,-4.0,0.001,-2.0,-4.0,-4.0,-2.0,-5.0,1
113,1.0,74113434.0,-0.1107061907054136,85520070.0,9729274.0,73630.0,0.0,2.0,0.0,-4.0,0.001,1.0,1.0,0.0,1.0,0.0,0
114,2.0,20361584.0,-0.2236004333530994,21908880.0,681626.0,1326541.0,22000.0,1.0,-2.0,-1.0,-4.0,2.0,4.0,1.0,2.0,1.0,0
115,1.0,55075218.0,-0.1940749198576632,68528560.0,0.0,233868.0,13930.0,1.0,0.001,0.001,0.001,1.0,3.0,3.0,1.0,0.0,0
116,2.0,6039804.0,-0.1076696986607782,1608450.0,280786.0,6277361.0,0.0,-1.0,0.001,1.0,0.001,1.0,2.0,3.0,0.0,0.001,0
117,-2.0,32725916.0,0.1792110696211819,41786530.0,1575885.0,1435900.0,18850.0,0.001,0.001,0.001,0.001,0.0,-4.0,-2.0,1.0,-5.0,1
118,-1.0,82661750.0,0.0591356773816897,105225900.0,16130.0,40880.0,0.0,0.001,0.001,0.001,0.001,0.0,-1.0,-1.0,-1.0,0.0,0
119,1.0,60747247.0,-0.1127083547913568,65697420.0,288389.0,998401.0,0.0,1.0,0.001,-1.0,0.001,0.0,3.0,2.0,0.0,0.0,0
120,0.0,179430478.0,-0.0810030966905889,243251210.0,1509318.0,21890.0,0.0,0.001,0.001,0.001,0.001,0.0,2.0,0.0,0.0,0.0,0
121,0.0,13175946.0,0.0703123959274714,17687930.0,2420286.0,0.0,8500.0,0.0,-5.0,0.001,0.001,0.0,-1.0,-1.0,-1.0,5.0,1
122,-1.0,31931048.0,0.0942215501742489,34400430.0,6117870.0,27580.0,0.0,-1.0,0.0,0.001,0.001,-1.0,0.0,-1.0,-1.0,-2.0,1
123,0.0,7830667.0,0.0596268462976046,593900.0,10083738.0,5400.0,0.0,-3.0,-1.0,0.001,0.001,0.0,-1.0,-1.0,0.0,0.0,1
124,2.0,23514880.0,-0.1318115954690244,39372930.0,53110.0,11360.0,4700.0,0.001,0.001,0.001,0.001,1.0,0.0,0.0,0.0,1.0,1
125,3.0,10107616.0,-0.2102404905115512,14204720.0,1439011.0,16200.0,0.0,1.0,0.0,-3.0,0.001,1.0,4.0,4.0,1.0,4.0,0
126,-2.0,30057725.0,0.2220206205448296,32395330.0,8241829.0,60250.0,0.0,-2.0,-1.0,0.001,0.001,-3.0,-1.0,-1.0,-2.0,-1.0,1
127,1.0,5005164.0,-0.0659637509685339,6371550.0,717244.0,5380.0,19900.0,0.0,-3.0,0.001,0.001,3.0,-1.0,-1.0,3.0,0.0,0
128,-1.0,7371069.0,0.0496198631454689,59000.0,8662950.0,72480.0,0.0,0.001,0.0,0.001,0.001,-1.0,0.0,1.0,-1.0,2.0,0
129,0.0,5678383.0,0.0254716220571438,194000.0,6550224.0,475985.0,0.0,-2.0,-1.0,0.0,0.001,3.0,-2.0,-1.0,2.0,3.0,1
130,3.0,33849615.0,-0.2786293670336524,44509100.0,83360.0,1295790.0,0.0,2.0,0.001,-5.0,0.001,2.0,3.0,2.0,3.0,3.0,0
131,0.0,26551638.0,-0.0587331226257104,26124900.0,145800.0,6554935.0,0.0,0.0,-3.0,0.0,0.001,1.0,1.0,0.0,1.0,1.0,0
132,3.0,9426950.0,-0.2031637518830815,3285160.0,8282974.0,572975.0,0.0,-3.0,2.0,-1.0,0.001,1.0,4.0,4.0,0.0,0.0,0
133,-1.0,17449019.0,0.086538957133635,22393840.0,2190347.0,61860.0,0.0,-1.0,0.0,0.001,0.001,-2.0,1.0,1.0,-2.0,-2.0,1
134,0.0,73207640.0,0.0965284969613322,104343410.0,817864.0,54190.0,0.0,0.001,0.001,0.001,0.001,-1.0,0.0,-1.0,-1.0,0.0,1
135,1.0,11912518.0,-0.1564332145092537,12735590.0,216458.0,52070.0,3900.0,0.001,0.001,0.001,0.001,0.0,3.0,4.0,-1.0,0.0,0
136,3.0,17577530.0,-0.1739713245043035,30752530.0,162670.0,7980.0,0.0,0.001,0.001,0.001,0.001,1.0,3.0,3.0,1.0,0.0,0
137,-1.0,68172053.0,0.095584559039425,109849170.0,505430.0,2976149.0,0.0,-1.0,0.001,0.0,0.001,-1.0,0.0,1.0,0.0,0.0,1
138,1.0,35749862.0,-0.0916193590882846,44257790.0,4283742.0,11370.0,0.0,1.0,-2.0,0.001,0.001,1.0,-2.0,-2.0,1.0,0.0,0
139,0.0,39192917.0,-0.0501188501085222,41694840.0,5742731.0,1488291.0,19400.0,1.0,-1.0,-2.0,0.001,0.0,1.0,-2.0,0.0,0.0,0
140,0.0,186143776.0,0.1991896512225708,248629670.0,97756.0,332730.0,0.0,0.001,0.001,0.001,0.001,0.0,1.0,1.0,1.0,0.0,1
141,-1.0,4338578.0,0.1033870138788861,20000.0,114150.0,5630473.0,0.0,0.001,0.001,-1.0,0.001,0.0,-1.0,-1.0,1.0,0.001,1
142,0.0,483040.0,0.2083174321041376,825300.0,40690.0,1800.0,0.0,0.001,0.001,0.001,0.001,-1.0,1.0,1.0,-1.0,0.001,1
143,-1.0,5607086.0,0.093942596617413,234790.0,7123782.0,0.0,3500.0,0.001,-1.0,0.001,0.001,-1.0,-1.0,-1.0,-2.0,-1.0,1
144,1.0,59862092.0,-0.1032625663333112,15008620.0,5591186.0,49678022.0,0.0,-7.0,-6.0,4.0,0.001,0.0,2.0,1.0,-1.0,0.0,0
145,-2.0,115022278.0,0.2567765804637492,139439180.0,674237.0,147366.0,0.0,-2.0,0.001,-4.0,0.001,-2.0,0.0,0.0,-1.0,0.0,1
146,1.0,72227560.0,-0.1386744404945558,101169230.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,1.0,1.0,0.0,1.0,0.0,0
147,1.0,71493709.0,-0.1236027221268846,84718730.0,12627542.0,57730.0,0.0,1.0,-1.0,0.001,0.001,1.0,0.0,1.0,0.0,1.0,0
148,0.0,4278819.0,0.073860077352404,114000.0,14420.0,5537677.0,0.0,0.001,0.001,0.0,0.001,0.0,-1.0,-1.0,-1.0,0.001,1
149,1.0,20478831.0,-0.0572015432380108,26170750.0,1299147.0,108126.0,0.0,0.0,0.0,-2.0,0.001,1.0,0.0,0.0,0.0,4.0,0
150,3.0,20542928.0,-0.2803341484622131,13604750.0,10687720.0,19250.0,0.0,2.0,2.0,0.001,0.001,2.0,3.0,3.0,2.0,5.0,0
151,1.0,65745151.0,-0.1184603177729215,80930940.0,2044801.0,14210.0,0.0,1.0,0.0,0.001,0.001,1.0,1.0,1.0,3.0,0.0,0
152,-1.0,24492580.0,0.0909963844993066,30460580.0,7100.0,2421500.0,0.0,0.001,0.001,0.001,0.001,-1.0,2.0,3.0,-1.0,-4.0,1
153,0.0,8875325.0,0.0085808121507973,9967680.0,963458.0,30800.0,3300.0,0.001,0.001,0.001,0.001,1.0,0.0,0.0,0.0,4.0,0
154,-2.0,35764924.0,0.1837644597299192,69770830.0,1941559.0,11760.0,0.0,0.001,0.001,0.001,0.001,-2.0,0.0,-1.0,-1.0,0.0,1
155,-1.0,45355161.0,0.0940271149799019,55399380.0,279431.0,18000.0,0.0,0.001,0.001,0.001,0.001,-1.0,1.0,1.0,-1.0,-1.0,0
156,0.0,114075290.0,-0.0576800131108713,150377070.0,22410.0,50050.0,0.0,0.001,0.001,0.001,0.001,1.0,-1.0,-1.0,1.0,0.0,1
157,-1.0,9761481.0,0.1126770483962209,12433430.0,27000.0,1624186.0,3500.0,-1.0,0.001,0.0,0.001,0.0,-1.0,1.0,-2.0,0.0,1
158,0.0,8949854.0,0.064063531805554,8299610.0,3406302.0,45030.0,44700.0,0.0,-4.0,0.001,0.001,-2.0,0.0,0.0,-4.0,0.0,1
159,1.0,99942360.0,-0.1646666641538094,143013320.0,813210.0,53080.0,0.0,0.001,0.001,0.001,0.001,2.0,1.0,0.0,1.0,5.0,0
160,0.0,15129798.0,-0.0214012002455951,16026510.0,4495637.0,6900.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,1.0,1.0,0.0,0
161,0.0,103591750.0,0.0066963954651309,170105820.0,1521068.0,11570.0,0.0,0.001,0.001,0.001,0.001,-1.0,5.0,1.0,1.0,0.0,1
162,1.0,58561560.0,-0.1073738534142376,66879160.0,2960610.0,361060.0,0.0,0.0,-1.0,0.001,0.001,1.0,1.0,1.0,0.0,0.0,0
163,0.0,9017794.0,0.0284756783935591,3628800.0,87910.0,7694274.0,60300.0,-1.0,0.001,1.0,0.001,-1.0,1.0,1.0,-1.0,0.0,1
164,-2.0,69515459.0,0.2205870810541663,105935490.0,3393482.0,353894.0,0.0,-2.0,-2.0,-5.0,0.001,-2.0,-5.0,-4.0,0.0,0.0,1
165,3.0,30375780.0,-0.2294584619053307,40290590.0,520690.0,8000.0,0.0,0.001,0.001,0.001,0.001,1.0,3.0,0.0,1.0,1.0,0
166,1.0,25890469.0,-0.0703304889750581,30580420.0,3839010.0,4100.0,0.0,0.0,2.0,0.001,0.001,1.0,1.0,3.0,0.0,0.0,0
