고객번호,fluctuation,f_커리어,f_소형가전,f_셔츠,f_모피피혁,f_시티웨어,f_골프용품,f_통신컴퓨터,f_주방가전,f_트래디셔널,f_준보석시계,f_디자이너,f_대형가전,f_악기,f_보석,f_남성 트랜디,f_축산가공,f_남성정장,f_명품,Monetary,A_Monetary_실제지출,B_Monetary_실제지출,C_Monetary_실제지출,D_Monetary_실제지출,pred
16,-2.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0001,0.0,-5.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0,8452195.0,10596770.0,329835.0,3500.0,0.0,0
17,0.0,-4.0,0.0001,1.0,0.0,0.0001,0.0001,0.0001,-4.0,-4.0,9.0,-4.0,0.0001,0.0001,0.0001,-6.0,-3.0,0.0,2.0,89598347.0,138194630.0,3970978.0,653497.0,0.0,1
18,5.0,6.0,0.0001,7.0,2.0,3.0,6.0,0.0001,0.0001,-2.0,0.0001,9.0,0.0001,0.0001,0.0001,0.0,2.0,0.0001,5.0,38563519.0,80016940.0,289022.0,303097.0,0.0,1
19,0.0,1.0,-7.0,0.0001,0.0001,4.0,-3.0,0.0001,-4.0,0.0001,0.0001,6.0,0.0001,0.0001,0.0001,0.0001,-2.0,0.0001,0.0,31503860.0,42891100.0,8020.0,9750.0,39500.0,0
20,1.0,0.0001,0.0001,-3.0,0.0001,0.0001,-1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3.0,0.0001,0.0001,16384280.0,22661290.0,12000.0,49220.0,0.0,1
21,-1.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,17698221.0,2320100.0,20394474.0,4990.0,0.0,0
22,4.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,9.0,112163220.0,145690570.0,0.0,0.0,0.0,0
23,-1.0,0.0001,0.0001,0.0001,0.0001,6.0,0.0,0.0001,-7.0,0.0,0.0001,-6.0,0.0001,0.0001,0.0001,0.0001,4.0,0.0,1.0,64370017.0,77962800.0,240311.0,421320.0,0.0,0
24,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,5.0,9319443.0,2513400.0,9553958.0,0.0,13000.0,0
25,1.0,5.0,0.0001,0.0001,6.0,-2.0,0.0,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,-4.0,0.0001,4.0,29569501.0,46048250.0,322500.0,477693.0,0.0,1
26,2.0,0.0001,-7.0,0.0,0.0001,0.0001,-2.0,0.0,0.0,-4.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0,-6.0,-6.0,7.0,100808546.0,126544250.0,594525.0,58089.0,35000.0,0
27,-1.0,-5.0,0.0001,-8.0,7.0,0.0,0.0,0.0001,0.0001,-7.0,0.0001,6.0,0.0001,0.0001,-7.0,0.0001,0.0,0.0001,5.0,42678766.0,59797470.0,226426.0,37120.0,0.0,1
28,-1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,0.0001,0.0001,7088510.0,1875920.0,6791290.0,9990.0,0.0,0
29,0.0,4.0,-6.0,7.0,2.0,0.0,0.0,0.0001,0.0,1.0,5.0,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,3.0,8.0,62722560.0,83474650.0,2336211.0,151510.0,0.0,0
30,0.0,0.0,0.0001,0.0001,0.0001,-8.0,0.0001,0.0001,-4.0,-7.0,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,6.0,81693637.0,97446890.0,59000.0,8610176.0,0.0,0
31,-1.0,0.0001,0.0001,-6.0,0.0001,0.0001,0.0001,0.0001,0.0001,-3.0,0.0001,0.0001,2.0,0.0001,0.0001,0.0001,-3.0,0.0001,0.0001,10536140.0,13521910.0,16200.0,4210.0,6300.0,0
32,-1.0,0.0001,0.0001,0.0001,0.0001,0.0001,4.0,0.0001,0.0001,3.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3.0,0.0001,0.0001,14939169.0,7389970.0,12154417.0,0.0,0.0,0
33,0.0,0.0001,0.0001,0.0001,5.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,7770752.0,259300.0,9819012.0,464773.0,0.0,1
34,2.0,0.0001,0.0001,0.0,-8.0,7.0,0.0001,0.0001,0.0001,5.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,5.0,0.0001,0.0001,12495490.0,14932280.0,25800.0,165140.0,0.0,0
35,0.0,0.0001,0.0001,-2.0,0.0001,0.0001,-2.0,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,-5.0,-4.0,2.0,33638760.0,41612080.0,3030926.0,0.0,58000.0,0
36,1.0,0.0001,0.0,0.0001,0.0001,-4.0,0.0,0.0001,8.0,-8.0,0.0001,-2.0,0.0001,0.0001,0.0001,0.0001,-1.0,0.0001,0.0001,35893369.0,42654150.0,443650.0,411543.0,0.0,0
37,-1.0,0.0001,0.0001,0.0001,0.0001,0.0001,-4.0,0.0001,0.0,0.0001,0.0001,0.0,-4.0,0.0001,0.0001,0.0001,5.0,0.0001,4.0,51280690.0,60499890.0,261900.0,16480.0,0.0,0
38,-1.0,0.0001,0.0001,0.0001,0.0001,3.0,0.0001,0.0001,-5.0,0.0001,-1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,17305091.0,6037800.0,14683771.0,2913884.0,0.0,1
39,1.0,-3.0,0.0001,0.0001,0.0,3.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0,9.0,6.0,119082978.0,207638250.0,0.0,75092.0,0.0,1
40,-1.0,0.0001,0.0001,0.0,-2.0,0.0,-6.0,0.0001,-3.0,0.0001,0.0001,2.0,-5.0,0.0001,0.0001,0.0001,0.0,0.0001,4.0,20929154.0,24082860.0,1801779.0,377431.0,0.0,0
41,1.0,0.0001,0.0001,0.0001,0.0001,0.0,6.0,0.0001,0.0,4.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,-2.0,0.0,5.0,13951110.0,16499610.0,1850600.0,313000.0,0.0,0
42,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3.0,0.0,0.0001,0.0001,11500166.0,1774700.0,14011288.0,162464.0,0.0,1
43,-1.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,5751502.0,1771520.0,5745487.0,16120.0,0.0,0
44,-1.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,3.0,0.0001,0.0,4.0,0.0001,0.0001,0.0001,0.0,0.0001,-3.0,75744130.0,107799850.0,656434.0,2032606.0,0.0,1
45,-4.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0001,-4.0,0.0001,0.0001,0.0001,0.0001,-6.0,0.0001,-7.0,159354431.0,228861110.0,1138101.0,38200.0,0.0,1
46,0.0,-7.0,0.0001,0.0001,0.0,-5.0,0.0,0.0001,0.0,5.0,0.0,7.0,-6.0,0.0001,0.0001,0.0001,0.0,0.0,3.0,84469720.0,133934300.0,230820.0,15830.0,0.0,1
47,3.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,-4.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,4.0,0.0001,0.0,15780564.0,7804360.0,12960546.0,22410.0,0.0,0
48,0.0,-7.0,0.0001,0.0,7.0,0.0,0.0001,0.0001,5.0,0.0001,0.0,7.0,0.0,0.0001,0.0001,0.0001,1.0,0.0001,-1.0,65815600.0,82326450.0,328370.0,518820.0,0.0,0
49,-1.0,0.0001,0.0001,0.0,0.0,-3.0,0.0,0.0001,3.0,5.0,0.0001,0.0,-8.0,0.0001,0.0,0.0001,-1.0,0.0001,0.0,72000190.0,91404670.0,25194.0,4990.0,0.0,0
50,0.0,0.0001,0.0001,0.0001,-7.0,6.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0,18887795.0,21536840.0,2842000.0,830681.0,0.0,0
51,2.0,3.0,0.0001,-5.0,0.0001,0.0001,0.0,-2.0,0.0001,3.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,-1.0,0.0001,0.0001,15425852.0,16060820.0,6068759.0,0.0,70500.0,1
52,0.0,1.0,0.0001,9.0,0.0,5.0,0.0001,0.0001,2.0,0.0,0.0001,-6.0,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,-2.0,27160970.0,36845330.0,20800.0,111540.0,0.0,0
53,3.0,0.0001,-4.0,0.0,0.0001,0.0001,3.0,0.0001,0.0,0.0,0.0001,0.0001,3.0,0.0001,0.0,0.0001,0.0001,0.0001,3.0,45973621.0,48946570.0,818875.0,2783197.0,0.0,0
54,2.0,0.0001,0.0001,0.0001,7.0,0.0001,0.0001,0.0001,0.0001,4.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0001,7693030.0,10563990.0,31600.0,42640.0,18000.0,0
55,-1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6088367.0,30000.0,1057360.0,6515769.0,0.0,0
56,2.0,-6.0,0.0001,0.0,7.0,0.0,0.0,0.0001,4.0,0.0,0.0001,2.0,0.0001,0.0001,0.0001,7.0,1.0,-7.0,4.0,65304803.0,92360310.0,56940.0,164763.0,0.0,1
57,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,7801023.0,88000.0,1935480.0,8306510.0,0.0,1
58,1.0,-4.0,0.0001,0.0001,0.0,-1.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,5.0,0.0001,3.0,18156860.0,26503190.0,21470.0,0.0,0.0,1
59,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,5.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,-6.0,0.0001,4.0,20038498.0,26621650.0,626612.0,18490.0,0.0,0
60,-1.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,-3.0,-1.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0,5.0,0.0,0.0001,0.0001,21909264.0,18418390.0,12015209.0,62770.0,0.0,1
61,0.0,0.0,0.0001,0.0001,0.0,1.0,0.0001,0.0001,-3.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,5.0,3.0,0.0,0.0,17551672.0,19196800.0,3310906.0,4350397.0,0.0,1
62,1.0,0.0,0.0001,1.0,0.0001,0.0001,3.0,0.0001,0.0,5.0,0.0001,5.0,0.0001,0.0001,0.0001,0.0001,4.0,0.0001,-2.0,17269950.0,17406610.0,3675554.0,103158.0,0.0,0
63,0.0,0.0001,0.0001,0.0001,6.0,0.0001,0.0001,0.0001,0.0001,-3.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-1.0,0.0001,0.0001,5120570.0,6147420.0,13000.0,10960.0,0.0,0
64,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2862754.0,26300.0,3822829.0,2990.0,0.0,1
65,1.0,0.0001,0.0,6.0,6.0,5.0,0.0001,0.0001,0.0,0.0,0.0001,-5.0,0.0001,0.0001,0.0001,0.0001,2.0,0.0,0.0,15160223.0,17120670.0,2222204.0,10700.0,0.0,0
66,0.0,0.0001,0.0001,-3.0,0.0,0.0001,0.0001,0.0,0.0001,-1.0,0.0001,0.0001,0.0001,0.0001,0.0001,-3.0,-1.0,0.0001,0.0001,13106401.0,7775700.0,10512196.0,52630.0,0.0,1
67,-1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,8284763.0,728000.0,9998657.0,11490.0,0.0,0
68,0.0,-5.0,0.0001,6.0,0.0,0.0,5.0,-9.0,4.0,7.0,0.0001,6.0,-6.0,0.0001,0.0001,0.0001,-2.0,7.0,5.0,195875618.0,64645160.0,238627885.0,17800.0,0.0,1
69,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,12050102.0,3870.0,571980.0,15156778.0,0.0,1
70,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,8.0,0.0001,-1.0,22305840.0,32131640.0,15000.0,129670.0,0.0,1
71,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3805961.0,30530.0,4644570.0,97534.0,0.0,0
72,-1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,5.0,0.0,0.0001,0.0001,7223908.0,1444560.0,8349605.0,21050.0,0.0,1
73,0.0,0.0,-6.0,0.0,0.0001,4.0,1.0,0.0001,2.0,-1.0,0.0001,7.0,0.0001,0.0001,0.0001,0.0,0.0001,6.0,-1.0,179854700.0,231206400.0,984280.0,17430.0,0.0,0
74,5.0,8.0,4.0,0.0001,5.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,5.0,5.0,0.0001,6.0,25155180.0,30591030.0,990070.0,406800.0,0.0,0
75,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-1.0,0.0001,0.0001,3947131.0,3954580.0,8800.0,1198982.0,0.0,0
76,0.0,0.0001,4.0,-3.0,0.0001,0.0,0.0001,0.0001,4.0,0.0,0.0001,-4.0,0.0001,0.0001,0.0001,0.0001,5.0,0.0001,0.0,9088599.0,10594530.0,1230300.0,441814.0,0.0,0
77,1.0,-5.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,-7.0,0.0001,6.0,0.0001,0.0001,0.0001,-2.0,1.0,0.0001,2.0,24800796.0,33302290.0,3045346.0,0.0,0.0,1
78,-1.0,-4.0,0.0,0.0001,9.0,-6.0,-2.0,0.0001,-6.0,0.0,0.0001,-2.0,0.0001,0.0001,0.0,0.0001,0.0,0.0001,-1.0,71248737.0,87200300.0,4979157.0,186446.0,0.0,0
79,0.0,0.0001,0.0001,0.0001,0.0,-1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,5.0,0.0,0.0,0.0001,12437605.0,4431080.0,11398047.0,99230.0,0.0,0
80,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,7601675.0,3820830.0,1211701.0,5850699.0,0.0,1
81,-2.0,0.0,0.0001,1.0,8.0,-6.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0001,-9.0,0.0001,-3.0,0.0001,0.0,55613498.0,73542730.0,758078.0,24070.0,0.0,0
82,-1.0,0.0001,0.0001,0.0,-4.0,-7.0,6.0,0.0001,-2.0,-6.0,0.0001,-1.0,0.0001,0.0001,0.0001,0.0,-2.0,0.0,-8.0,113325460.0,148034120.0,6148050.0,138920.0,0.0,0
83,-1.0,0.0001,0.0001,0.0001,0.0001,-4.0,-3.0,0.0001,-1.0,-7.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,-2.0,0.0001,5.0,104823559.0,121095040.0,1287009.0,14900.0,0.0,0
84,2.0,3.0,0.0,-5.0,0.0001,-3.0,0.0,0.0001,0.0,0.0,0.0001,6.0,0.0,0.0001,-4.0,0.0001,-1.0,0.0001,0.0,48493080.0,62506090.0,710080.0,28730.0,0.0,0
85,-2.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001,-4.0,0.0001,0.0001,-3.0,0.0001,0.0001,0.0001,0.0001,-3.0,0.0001,0.0001,10713160.0,14130000.0,0.0,19980.0,51050.0,0
86,0.0,0.0,-4.0,0.0,0.0,5.0,0.0001,-1.0,0.0,0.0001,0.0001,0.0,-4.0,0.0001,0.0001,0.0,-6.0,0.0001,0.0,30042901.0,25691390.0,15114176.0,23950.0,13000.0,1
87,1.0,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0,8.0,0.0001,0.0001,0.0001,-2.0,0.0001,-7.0,29404842.0,50519230.0,163900.0,922012.0,0.0,1
88,0.0,0.0001,0.0,0.0001,0.0001,0.0001,3.0,0.0001,-2.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.0,0.0001,0.0001,39446338.0,56941190.0,6691098.0,56204.0,0.0,1
89,2.0,0.0001,0.0001,4.0,0.0001,0.0001,0.0001,0.0001,-1.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,5.0,0.0,5.0,0.0001,12864757.0,5927820.0,8693919.0,1374467.0,1800.0,0
90,-1.0,0.0,0.0,7.0,8.0,-5.0,-2.0,0.0001,0.0,0.0,0.0001,-4.0,-6.0,0.0001,0.0,-5.0,0.0001,0.0,0.0001,48004022.0,56185980.0,1589950.0,66152.0,0.0,0
91,-1.0,5.0,0.0001,0.0001,0.0001,3.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-6.0,0.0001,0.0001,14770700.0,17632590.0,477549.0,953398.0,0.0,0
92,-1.0,1.0,0.0,5.0,0.0001,-5.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0,-4.0,0.0001,-5.0,41363746.0,43975940.0,7216819.0,5156026.0,0.0,0
93,0.0,6.0,0.0001,0.0001,5.0,-2.0,0.0001,0.0001,0.0001,-6.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,-1.0,0.0001,6.0,89345530.0,116030800.0,86657.0,38780.0,0.0,0
94,-7.0,-8.0,0.0001,0.0,0.0,-4.0,-8.0,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,-7.0,0.0001,-8.0,39947197.0,71467070.0,831391.0,283186.0,0.0,1
95,0.0,-3.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-3.0,0.0,0.0,6020632.0,2125140.0,5695791.0,139810.0,3000.0,1
96,2.0,5.0,0.0001,-1.0,0.0001,8.0,1.0,0.0001,2.0,5.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,6.0,5.0,25715930.0,31928900.0,119030.0,0.0,0.0,0
97,0.0,-6.0,5.0,-7.0,0.0001,0.0,-1.0,-9.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0001,1.0,0.0,0.0,761046324.0,973521540.0,1039013.0,4993353.0,0.0,0
98,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,0.0,17469793.0,20610650.0,1575537.0,0.0,3900.0,0
99,0.0,5.0,0.0001,0.0,0.0,2.0,2.0,0.0001,0.0,2.0,0.0001,2.0,0.0001,0.0001,0.0001,0.0001,-2.0,0.0001,-1.0,195207751.0,252036830.0,5849166.0,113770.0,0.0,0
100,2.0,-3.0,0.0001,0.0,0.0,0.0,0.0,0.0001,-3.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0,2.0,0.0001,0.0,26439913.0,24699940.0,2893727.0,41640.0,0.0,0
101,-2.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3.0,0.0001,0.0001,4516269.0,4798400.0,2213581.0,28270.0,0.0,1
102,1.0,-7.0,7.0,0.0001,5.0,-4.0,4.0,0.0001,2.0,2.0,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,1.0,65357456.0,101579750.0,6474774.0,5534110.0,0.0,1
103,-1.0,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3573684.0,458600.0,582460.0,3699758.0,0.0,1
104,0.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,12431905.0,1954700.0,13745250.0,58080.0,0.0,0
105,0.0,-7.0,0.0001,0.0001,0.0001,-2.0,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,17732700.0,3669570.0,18913640.0,35840.0,0.0,0
106,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,-3.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,1.0,0.0001,5.0,45513859.0,69379230.0,299768.0,202621.0,0.0,1
107,0.0,-2.0,0.0001,4.0,0.0,4.0,0.0,0.0001,-4.0,0.0001,0.0001,1.0,0.0001,0.0001,-5.0,0.0001,1.0,-6.0,0.0001,94395670.0,134042720.0,12280.0,1024865.0,0.0,1
108,-1.0,-4.0,0.0001,0.0,-4.0,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,-2.0,0.0001,0.0,10281310.0,14093570.0,776250.0,1980.0,0.0,1
109,2.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,6111553.0,136200.0,344770.0,8359199.0,0.0,1
110,0.0,-1.0,0.0001,0.0,6.0,0.0,0.0,0.0001,2.0,0.0,0.0001,5.0,0.0001,0.0001,0.0001,0.0001,3.0,-6.0,0.0001,22808302.0,22999790.0,3192219.0,797486.0,8400.0,0
111,-1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3895321.0,70500.0,1691249.0,3440282.0,0.0,1
112,-2.0,0.0,0.0001,0.0,-8.0,-4.0,0.0001,0.0001,-9.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-6.0,0.0001,0.0001,55775479.0,98854890.0,1887765.0,138601.0,0.0,1
113,1.0,7.0,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,6.0,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,1.0,74113434.0,85520070.0,9729274.0,73630.0,0.0,0
