고객번호,fluctuation,구매금액
243,0.0,4778727
244,-7.0,19971530
245,0.0,20833115
246,-1.0,52427907
247,1.0,19836531
248,0.0,23253105
249,1.0,97378152
250,-1.0,92293530
251,2.0,39601224
252,-2.0,8782920
253,3.0,53803100
254,-1.0,109894152
255,1.0,105926266
256,-1.0,150480560
257,0.0,12181590
258,0.0,206049580
259,-1.0,31755648
260,3.0,9759454
261,1.0,25939991
262,0.0,30017723
263,0.0,4998003
264,0.0,9287443
265,0.0,154131760
266,-1.0,32580341
267,0.0,40080490
268,1.0,41821757
269,1.0,59925690
270,-1.0,6702088
271,0.0,41398320
272,1.0,20662175
273,0.0,54242883
274,-1.0,4306606
275,0.0,42380687
276,-1.0,9538281
277,-2.0,15093059
278,1.0,4515174
279,0.0,43047810
280,0.0,55583464
281,0.0,57828109
282,0.0,35250341
283,1.0,106815980
284,1.0,1969553
285,0.0,4122174
286,0.0,25796537
287,0.0,6063181
288,0.0,27325053
289,-1.0,13726170
290,-2.0,9356854
291,-1.0,8138000
292,-1.0,62606050
293,-1.0,15229431
294,-1.0,40987320
295,-5.0,28713215
296,0.0,67547846
297,-1.0,40461179
298,-3.0,108835475
299,3.0,17771808
300,0.0,18305739
301,1.0,30602793
302,-1.0,29659385
303,2.0,24760880
304,-4.0,101212640
305,-1.0,95707457
306,0.0,39180820
307,0.0,50717118
308,1.0,21641180
309,1.0,65499098
310,1.0,15780830
311,0.0,33366514
312,-3.0,13755261
313,2.0,58291879
314,2.0,72751270
315,-1.0,139028968
316,2.0,41716147
317,1.0,21588511
318,0.0,21367380
319,1.0,43283540
320,0.0,17007625
321,3.0,64676670
322,1.0,18809787
323,-1.0,59370979
324,1.0,62552716
325,1.0,33468259
326,1.0,34875789
327,1.0,65653594
328,0.0,38684720
329,2.0,46892690
330,-4.0,4554249
331,1.0,8077798
332,0.0,36306159
333,-1.0,25168800
334,-2.0,21095660
335,-1.0,82737406
336,1.0,10805738
337,0.0,127865599
338,0.0,12154463
339,0.0,20994935
340,1.0,30593880
341,-3.0,86529570
342,1.0,8223799
343,-1.0,36349968
344,2.0,24292184
345,1.0,66090973
346,0.0,6427060
347,1.0,14119485
348,-1.0,10655221
349,2.0,59064056
350,-1.0,8384880
351,1.0,41533593
352,-1.0,126052967
353,-2.0,8968673
354,-2.0,8139229
355,1.0,74422058
356,-1.0,41299801
357,-1.0,8794621
358,-1.0,42480680
359,0.0,26690855
360,0.0,19257773
361,1.0,54942607
362,-1.0,11579747
363,0.0,172279960
364,-4.0,12904431
365,2.0,92532084
366,0.0,5696481
367,1.0,85765535
368,0.0,36753619
369,0.0,46322750
370,0.0,8595292
371,0.0,12141559
372,0.0,8849418
373,-5.0,57963214
374,0.0,41716244
375,0.0,129317123
376,0.0,3541131
377,1.0,64480386
378,0.0,45349744
379,-1.0,17381740
380,0.0,5375075
381,-2.0,22760190
382,-1.0,65110288
383,0.0,45716920
384,-2.0,6261738
385,0.0,7695054
386,1.0,27451031
387,-1.0,81834214
388,0.0,150321027
389,0.0,12956741
390,0.0,8878312
391,1.0,80191864
392,-1.0,4809552
393,-1.0,82281720
394,0.0,12126726
395,1.0,11165920
396,-1.0,10661283
397,0.0,14164870
398,-1.0,67228774
399,0.0,116104580
400,1.0,106267350
401,2.0,116273850
402,1.0,23821287
403,0.0,5954488
404,0.0,32369563
405,1.0,19297470
406,0.0,6230544
407,0.0,102970390
408,0.0,575791260
409,0.0,64921998
410,-1.0,4950311
411,1.0,46662100
412,1.0,40464792
413,0.0,48687219
414,0.0,61011823
415,-2.0,7146030
416,2.0,114019552
417,1.0,30053670
418,1.0,13674184
419,0.0,37831530
420,-3.0,22409029
421,0.0,62637080
422,-2.0,12510335
423,1.0,33376680
424,0.0,2253008
425,-1.0,12095768
426,-3.0,34876646
427,0.0,16637294
428,0.0,97551920
429,0.0,38908647
430,1.0,55387220
431,0.0,11369632
432,1.0,40781351
433,-1.0,74385160
434,0.0,34874437
435,1.0,19335340
436,0.0,57044425
437,-3.0,3096394
438,1.0,66968939
439,-2.0,6266279
440,2.0,54817823
441,-1.0,22933851
442,-1.0,23557047
443,-2.0,78358922
444,-1.0,83362812
445,0.0,5842552
446,1.0,12726480
447,-1.0,15252173
448,1.0,60131133
449,-2.0,37832095
450,-1.0,81600831
451,0.0,20493445
452,-4.0,10386274
453,-1.0,44551485
454,1.0,10339344
455,0.0,104867991
456,-1.0,18852475
457,0.0,126300573
458,0.0,8323540
459,0.0,23035430
460,1.0,29309365
461,-2.0,6777883
462,-1.0,58665611
463,1.0,41866110
464,0.0,15799411
465,1.0,15781621
466,-1.0,145730965
467,2.0,15107903
468,0.0,41419747
469,-1.0,22174860
470,0.0,5849856
471,-2.0,90496590
472,0.0,5381512
473,1.0,9405102
474,0.0,75018603
475,2.0,21172908
476,-1.0,10459855
477,-2.0,173005551
478,0.0,209758680
479,-1.0,7606598
480,0.0,74994763
481,1.0,55971079
482,-2.0,6320035
483,1.0,5822900
484,1.0,28020089
485,0.0,91844870
486,-1.0,108774580
487,-2.0,8559401
488,0.0,9705853
489,1.0,50315660
490,-1.0,19300900
491,1.0,10876090
492,2.0,45837900
493,-1.0,10752945
494,-1.0,26999854
495,1.0,4847677
496,0.0,15827040
497,-1.0,9434132
498,1.0,9068291
499,1.0,4802154
500,1.0,14287170
501,-1.0,110071770
502,0.0,49835476
503,-2.0,73916229
504,0.0,75904884
505,1.0,175092989
506,1.0,25111259
507,0.0,25332840
508,2.0,138895425
509,0.0,36983360
510,1.0,63949024
511,-1.0,7092347
512,0.0,5707829
513,1.0,40909130
514,1.0,10001872
515,-1.0,53729798
516,1.0,7616412
517,-1.0,42557360
518,1.0,100749774
519,-5.0,25857210
520,2.0,46673800
521,1.0,115462370
522,-2.0,22913470
523,0.0,13037994
524,0.0,13578185
525,1.0,28712102
526,1.0,43475787
527,-1.0,7517195
528,0.0,3189757
529,0.0,203951851
530,-1.0,13091853
531,-4.0,27790401
532,-2.0,58807710
533,0.0,7771428
534,1.0,14054640
535,0.0,94279742
536,1.0,4653082
537,-1.0,5990355
538,0.0,42345180
539,1.0,26388083
540,1.0,9195642
541,-1.0,11267715
542,-3.0,13055161
543,0.0,16684329
544,1.0,65067290
545,1.0,27767868
546,0.0,114026660
547,1.0,114988285
548,1.0,31915620
549,1.0,34439710
550,-3.0,23817446
551,-1.0,10459525
552,0.0,14455607
553,0.0,41078960
554,-1.0,84242770
555,-1.0,15746495
556,1.0,12450236
557,1.0,11244044
558,-2.0,11333429
559,1.0,90699510
560,-1.0,70182465
561,-1.0,50951358
562,0.0,472724770
563,0.0,14975174
564,0.0,69710209
565,0.0,77010960
566,0.0,50112598
567,2.0,56566313
568,-2.0,4101452
569,-1.0,24323864
570,0.0,6096027
571,2.0,55805184
572,-2.0,60975315
573,-4.0,25270771
574,3.0,42609136
575,-2.0,23926294
576,-2.0,45589116
577,1.0,34726700
578,1.0,86202881
579,1.0,2066357
580,0.0,11586659
581,0.0,6735876
582,0.0,10453770
583,2.0,4769189
584,1.0,23697875
585,0.0,167516581
586,1.0,48045000
587,0.0,54450740
588,2.0,100053621
589,2.0,22490413
590,-3.0,5484689
591,0.0,4573672
592,-1.0,13036111
593,-2.0,24387320
594,-2.0,146929850
595,2.0,13188960
596,2.0,66465680
597,1.0,34575612
598,0.0,6494738
599,1.0,31521823
600,-1.0,24389469
601,0.0,21126010
602,-1.0,44530003
603,2.0,55612271
604,-1.0,17971136
605,0.0,4140974
606,3.0,69428710
607,0.0,13315200
608,1.0,84863508
609,-1.0,4505847
610,-4.0,191212460
611,-1.0,42896825
612,5.0,42646280
613,0.0,53512595
614,-1.0,49549566
615,0.0,21879704
616,0.0,6869896
617,1.0,66911424
618,-1.0,29571128
619,-1.0,13040214
620,-2.0,80433940
621,1.0,5176574
622,1.0,42364967
623,-2.0,9739031
624,1.0,8503285
625,1.0,7079940
626,1.0,5892725
627,-2.0,23420363
628,1.0,22893162
629,1.0,14193312
630,2.0,31636226
631,0.0,50457770
632,2.0,12103709
633,0.0,84684083
634,1.0,27544290
635,3.0,120913518
636,4.0,20646517
637,-1.0,44830687
638,-1.0,57497588
639,1.0,39439919
640,0.0,104975149
641,-2.0,104313720
642,0.0,40998224
643,1.0,24764403
644,-1.0,15668450
645,0.0,196084972
646,-1.0,16747019
647,-1.0,8947100
648,1.0,32255010
649,1.0,9065260
650,3.0,5191629
651,0.0,21289960
652,-1.0,37618910
653,-1.0,7899953
654,-1.0,44365773
655,1.0,6957038
656,-1.0,63026290
657,1.0,54127512
658,0.0,18613781
659,0.0,5622407
660,0.0,8789488
661,1.0,35215171
662,-1.0,8991175
663,0.0,6281458
664,1.0,102399980
665,-1.0,19069279
666,-2.0,6395972
667,1.0,42347775
668,0.0,10668097
669,-1.0,48250379
670,0.0,190592487
671,1.0,10110511
672,1.0,29132890
673,-1.0,60891430
674,2.0,69583437
675,-2.0,16088677
676,0.0,197664410
677,-2.0,17658396
678,0.0,7756600
679,1.0,11059388
680,0.0,15864685
681,2.0,23034060
682,1.0,9218676
683,0.0,11016312
684,-1.0,10853910
685,1.0,11359857
686,2.0,26589132
687,-3.0,19833828
688,-1.0,5729676
689,0.0,51322010
690,-2.0,56258093
691,-2.0,43925230
692,-2.0,18217948
693,-1.0,93248730
694,1.0,44757155
695,-1.0,30818912
696,3.0,13653770
697,-1.0,24288140
698,-3.0,47521968
699,3.0,8927744
700,1.0,8556371
701,1.0,111593816
702,-1.0,5899215
703,0.0,24740660
704,1.0,30314047
705,1.0,9466339
706,0.0,8876471
707,1.0,34839050
708,0.0,80178134
709,0.0,36886406
710,-1.0,14544840
711,1.0,44245060
712,0.0,38864470
713,0.0,69283092
714,1.0,8298071
715,0.0,75926839
716,2.0,30850712
717,2.0,63073490
718,-1.0,32746199
719,-1.0,9291937
720,0.0,16354669
721,-1.0,7027150
722,-1.0,11746040
723,2.0,12077305
724,-1.0,4370023
725,0.0,9128158
726,-3.0,16885584
727,2.0,66534731
728,0.0,74396804
729,1.0,32473905
730,0.0,61006626
731,0.0,15654465
732,0.0,59912578
733,-1.0,53140224
734,-1.0,6798963
735,0.0,61214487
736,0.0,39185648
737,-1.0,9186702
738,-4.0,6988108
739,-1.0,7308474
740,0.0,10052013
741,0.0,10572631
742,-1.0,37193605
743,-1.0,12610412
744,0.0,12256125
745,-1.0,18147204
746,-1.0,37344572
747,-2.0,108345091
748,-2.0,105540760
749,-1.0,14271551
750,2.0,10337024
751,1.0,4241289
752,0.0,29344980
753,-1.0,8030278
754,1.0,45424835
755,-1.0,43433942
756,-2.0,18134440
757,0.0,50275343
758,-3.0,78479738
759,-1.0,24537658
760,-2.0,9471089
761,-5.0,18731302
762,-1.0,9971467
763,0.0,17776803
764,0.0,21552527
765,-2.0,34214070
766,-2.0,24717970
767,1.0,17385666
768,-3.0,7860830
769,0.0,27857169
770,-1.0,79475118
771,0.0,27156464
772,0.0,64386511
773,1.0,20867403
774,3.0,18138379
775,0.0,21296227
776,-1.0,21789520
777,1.0,18699250
778,1.0,17458879
779,1.0,61145369
780,-1.0,52590889
781,-1.0,71099570
782,2.0,8649517
783,0.0,55056038
784,0.0,45527770
785,-1.0,34268938
786,2.0,33019080
787,-1.0,16773970
788,1.0,21113754
789,-1.0,44574230
790,0.0,7337466
791,1.0,28301130
792,-1.0,74644150
793,2.0,9631023
794,1.0,52357146
795,2.0,51189827
796,0.0,33685366
797,0.0,69737609
798,1.0,2976268
799,0.0,14314179
800,-1.0,41157465
801,0.0,43689588
802,0.0,17323812
803,-1.0,14387330
804,1.0,7400273
805,0.0,5438173
806,0.0,25141840
807,-1.0,29205247
808,0.0,37575806
809,-1.0,18598204
810,-1.0,101921438
811,-1.0,61536942
812,0.0,37059232
813,-1.0,9370240
814,-1.0,55269992
815,2.0,19812660
816,1.0,69969429
817,-1.0,84823630
818,-1.0,31250246
819,-2.0,99147612
820,0.0,7870361
821,0.0,9007256
822,0.0,9037665
823,0.0,105023248
824,0.0,22305461
825,-1.0,26999970
826,0.0,5968084
827,2.0,43679041
828,2.0,45297368
829,-1.0,6508879
830,-1.0,12688227
831,-1.0,4843303
832,-1.0,72173650
833,0.0,15475908
834,-1.0,11720419
835,-1.0,53872115
836,-1.0,3678700
837,0.0,6988566
838,0.0,43174444
839,1.0,27213989
840,0.0,290139670
841,0.0,226364751
842,1.0,95500636
843,1.0,7680085
844,-2.0,37502537
845,-1.0,43386718
846,1.0,48107467
847,0.0,43022022
848,0.0,54523702
849,0.0,10482350
850,-1.0,29999925
851,0.0,3706851
852,2.0,32914345
853,0.0,9334100
854,0.0,15266076
855,1.0,32317430
856,-4.0,51799788
857,-2.0,61960730
858,0.0,64596316
859,0.0,41487295
860,0.0,11383473
861,0.0,128014093
862,1.0,6944720
863,-2.0,298349164
864,-1.0,16392671
865,-2.0,66611199
866,1.0,29854108
867,-1.0,22945037
868,1.0,15827210
869,-1.0,14066256
870,0.0,37191911
871,1.0,10312066
872,2.0,5844909
873,-2.0,61250817
874,0.0,45151906
875,1.0,55597067
876,2.0,13431267
877,-1.0,9814495
878,-1.0,79244572
879,0.0,50177431
880,1.0,9054454
881,-1.0,9679826
882,-4.0,86728354
883,2.0,45106190
884,1.0,146424070
885,0.0,19476303
886,-1.0,91359495
887,-2.0,41680064
888,0.0,35483716
889,1.0,11875104
890,-2.0,64822240
891,-1.0,30901497
892,0.0,3645706
893,-1.0,21767843
894,1.0,53686210
895,1.0,15511203
896,0.0,4227630
897,0.0,138297280
898,-4.0,10959517
899,1.0,72608399
900,-2.0,8603376
901,3.0,5929625
902,1.0,7506106
903,0.0,35628522
904,1.0,20015720
905,0.0,37635462
906,-1.0,9687933
907,0.0,27787860
908,3.0,4678980
909,0.0,10646439
910,0.0,5287482
911,0.0,104238678
912,0.0,26022341
913,0.0,37829770
914,-1.0,34391012
915,-3.0,30450734
916,-2.0,47455120
917,2.0,5699796
918,-1.0,52336181
919,2.0,93868948
920,1.0,23436350
921,4.0,9048317
922,1.0,13231626
923,-1.0,37775663
924,-1.0,77031870
925,0.0,47946620
926,1.0,10155754
927,-1.0,86171980
928,0.0,83369048
929,0.0,55523020
930,2.0,11890704
931,1.0,41779759
932,0.0,6163677
933,-1.0,9101239
934,1.0,117206376
935,0.0,23275737
936,-1.0,117632580
937,-1.0,62955395
938,1.0,6548005
939,-1.0,76051058
940,-3.0,9827145
941,-1.0,57378701
942,-1.0,12927039
943,0.0,49683907
944,1.0,47274017
945,0.0,14728189
946,0.0,84555040
947,0.0,553073400
948,-2.0,7042910
949,-1.0,51379814
950,-1.0,6887734
951,-4.0,14997212
952,-1.0,48761067
953,-3.0,80108420
954,0.0,39127178
955,0.0,234544601
956,2.0,6621193
957,-1.0,58186502
958,0.0,35863628
959,2.0,33667069
960,2.0,13396764
961,2.0,9922078
962,-1.0,65343380
963,-1.0,43705066
964,0.0,11600657
965,-1.0,67956669
966,0.0,75364720
967,2.0,6047826
968,0.0,11733998
969,-1.0,11623307
970,0.0,3157273
971,0.0,39533987
972,3.0,87097305
973,0.0,33499074
974,-1.0,55257590
975,0.0,26312027
976,1.0,6746557
977,1.0,149835135
978,-1.0,47977770
979,1.0,7218860
980,-1.0,30285963
981,0.0,10010166
982,-2.0,77825429
983,0.0,19015012
984,3.0,23015510
985,3.0,34911420
986,0.0,61151004
987,1.0,2652252
988,1.0,10886686
989,1.0,120397534
990,1.0,56087915
991,-1.0,51904852
992,-1.0,59799049
993,-2.0,76958212
994,-2.0,62716045
995,1.0,20478881
996,-1.0,46966672
997,-1.0,109581587
998,-2.0,38920652
999,0.0,60979406
1000,0.0,11440901
1001,1.0,25590059
1002,0.0,117830545
1003,-1.0,6080067
1004,2.0,33076572
1005,-2.0,64208965
1006,0.0,65676126
1007,1.0,2524809
1008,2.0,86821888
1009,-1.0,5178543
1010,-1.0,9850050
1011,2.0,103488755
1012,2.0,7397333
1013,-2.0,96936426
1014,2.0,66560610
1015,0.0,14331112
1016,1.0,24412052
1017,3.0,34447220
1018,1.0,79083659
1019,0.0,15807938
1020,0.0,20251020
1021,0.0,5444869
1022,-2.0,19540589
1023,3.0,19505061
1024,-2.0,11868326
1025,-2.0,50267420
1026,1.0,43664056
1027,1.0,33795015
1028,0.0,41186278
1029,-1.0,57364819
1030,1.0,6250989
1031,1.0,5575913
1032,-1.0,23454821
1033,0.0,62200050
1034,3.0,10417722
1035,-1.0,7221084
1036,-1.0,12992581
1037,0.0,18152145
1038,-1.0,27007913
1039,0.0,56111873
1040,0.0,74635262
1041,1.0,5601851
1042,0.0,62718619
1043,0.0,22489160
1044,2.0,94423030
1045,-1.0,107002480
1046,-1.0,34317870
1047,0.0,101678820
1048,0.0,16080991
1049,0.0,33760551
1050,3.0,5223990
1051,1.0,8434522
1052,0.0,18837256
1053,1.0,53007219
1054,2.0,6182807
1055,-2.0,12977042
1056,0.0,26667697
1057,-1.0,102706878
1058,1.0,32289133
1059,0.0,11359737
1060,-2.0,32534119
1061,-4.0,18442446
1062,3.0,33091915
1063,-1.0,6280878
1064,2.0,16017833
1065,-1.0,24354298
1066,-1.0,39335960
1067,-6.0,26700580
1068,0.0,6182904
1069,1.0,82607600
1070,0.0,12050683
1071,0.0,31508246
1072,1.0,47542773
1073,0.0,58555240
1074,0.0,524483
1075,0.0,5873050
1076,-1.0,18929131
1077,1.0,19927797
1078,1.0,5185110
1079,2.0,17325025
1080,0.0,30675821
1081,1.0,7572774
1082,3.0,5542879
1083,-3.0,6380615
1084,-1.0,74367650
1085,-1.0,39129333
1086,1.0,14454898
1087,1.0,25889590
1088,0.0,137913290
1089,-1.0,7996539
1090,2.0,47084207
1091,-2.0,63357667
1092,1.0,119074490
1093,-4.0,4082850
1094,0.0,9997668
1095,3.0,52785168
1096,0.0,12761750
1097,-1.0,11415538
1098,0.0,82774400
1099,0.0,7471540
1100,0.0,20992140
1101,-1.0,30000093
1102,1.0,5388707
1103,3.0,33673700
1104,-1.0,71652174
1105,1.0,22622812
1106,0.0,16122279
1107,-2.0,67343130
1108,0.0,100326950
1109,2.0,7445041
1110,0.0,43633730
1111,-1.0,65696856
1112,2.0,6993843
1113,1.0,7627270
1114,-1.0,21075640
1115,0.0,28100768
1116,-2.0,3282850
1117,0.0,71333974
1118,-3.0,64675637
1119,1.0,33418652
1120,0.0,7708180
1121,-8.0,42174530
1122,-1.0,14628126
1123,2.0,51821880
1124,0.0,50970882
1125,-1.0,11381240
1126,1.0,38459302
1127,0.0,171427582
1128,-1.0,24761503
1129,1.0,59381655
1130,-2.0,66685420
1131,1.0,33804515
1132,-4.0,11186557
1133,2.0,86727850
1134,0.0,12483258
1135,-1.0,17664663
1136,-1.0,22703877
1137,0.0,33325466
1138,0.0,213498437
1139,0.0,23561300
1140,1.0,9271208
1141,0.0,36225129
1142,1.0,45626179
1143,-2.0,6896730
1144,0.0,67103874
1145,1.0,4266709
1146,1.0,15299010
1147,0.0,151572070
1148,0.0,6041948
1149,-1.0,7030323
1150,0.0,41281493
1151,-2.0,26422948
1152,1.0,57726208
1153,2.0,18517119
1154,-1.0,27700498
1155,1.0,132734381
1156,1.0,8952364
1157,0.0,73176500
1158,2.0,9556606
1159,-3.0,9706999
1160,-1.0,9277950
1161,-4.0,57792651
1162,2.0,54268942
1163,-1.0,120020254
1164,1.0,25135828
1165,1.0,35266569
1166,1.0,46302481
1167,1.0,9785760
1168,0.0,11452498
1169,0.0,15507887
1170,1.0,11578224
1171,0.0,226266
1172,-2.0,70306101
1173,0.0,113763836
1174,-1.0,11656319
1175,0.0,8166732
1176,0.0,66713069
1177,1.0,7734260
1178,0.0,77827268
1179,-1.0,58030349
1180,0.0,9512863
1181,1.0,16719290
1182,2.0,8224768
1183,1.0,7322138
1184,-2.0,11949261
1185,-1.0,11793106
1186,0.0,16405711
1187,-2.0,28543537
1188,-2.0,4746558
1189,-1.0,14881500
1190,0.0,4543564
1191,2.0,10036240
1192,-2.0,15550632
1193,0.0,21151933
1194,0.0,37847524
1195,1.0,7544325
1196,0.0,15622918
1197,0.0,59014187
1198,1.0,25262452
1199,-2.0,18754549
1200,-1.0,100948706
1201,0.0,15395772
1202,1.0,15248485
1203,0.0,68216716
1204,1.0,5999924
1205,0.0,11632294
1206,-1.0,16548990
1207,-3.0,58577094
1208,0.0,656500
1209,0.0,20317240
1210,-1.0,7985740
1211,0.0,57357999
1212,-2.0,80210291
1213,-2.0,9163054
1214,-1.0,71418562
1215,0.0,15780376
1216,1.0,13387403
1217,-1.0,8918729
1218,-1.0,72442724
1219,-1.0,33170000
1220,0.0,31115942
1221,-2.0,10481370
1222,2.0,88380816
1223,0.0,6533628
1224,0.0,47931390
1225,2.0,8084914
1226,1.0,32700722
1227,0.0,48024552
1228,0.0,14467899
1229,2.0,73111973
1230,0.0,44345980
1231,1.0,10290823
1232,0.0,37338967
1233,-1.0,96017600
1234,1.0,9462757
1235,-1.0,29779410
1236,0.0,12899753
1237,-1.0,7924788
1238,1.0,98532650
1239,-2.0,14419470
1240,1.0,17119857
1241,2.0,11155499
1242,-1.0,24871301
1243,1.0,86141004
1244,1.0,15385632
1245,0.0,37065270
1246,2.0,80719700
1247,2.0,27427311
1248,0.0,5528520
1249,1.0,6175875
1250,1.0,7777189
1251,2.0,7641042
1252,0.0,7150304
1253,1.0,7528579
1254,2.0,43590117
1255,-2.0,57559235
1256,-2.0,3441675
1257,0.0,49214641
1258,0.0,9363359
1259,-2.0,38677010
1260,0.0,13171002
1261,-2.0,9313633
1262,-1.0,95200
1263,-1.0,81303250
1264,0.0,56514424
1265,-2.0,7085926
1266,2.0,78132495
1267,0.0,16430210
1268,1.0,32017240
1269,0.0,20634126
1270,0.0,11099152
1271,-3.0,66404690
1272,1.0,57074074
1273,1.0,58174597
1274,1.0,41293058
1275,-1.0,56256457
1276,1.0,6274683
1277,-1.0,82763419
1278,0.0,6118200
1279,1.0,23154485
1280,-1.0,6252464
1281,1.0,9149977
1282,-1.0,73605002
1283,2.0,50713646
1284,0.0,51631084
1285,-1.0,62977150
1286,0.0,3953294
1287,-1.0,26842840
1288,1.0,115526951
1289,0.0,90165240
1290,-2.0,65206810
1291,0.0,94801990
1292,1.0,39369334
1293,1.0,25390869
1294,2.0,10971770
1295,1.0,100930840
1296,-1.0,35633250
1297,-1.0,11063330
1298,2.0,47266988
1299,2.0,10624174
1300,-1.0,11449495
1301,2.0,65345364
1302,-2.0,51751163
1303,-1.0,4894762
1304,0.0,9490751
1305,2.0,30915941
1306,1.0,13887456
1307,0.0,18349398
1308,0.0,54531550
1309,0.0,7940582
1310,1.0,66098015
1311,1.0,49586650
1312,1.0,36842701
1313,1.0,60468230
1314,-4.0,18604650
1315,0.0,37942296
1316,1.0,145455761
1317,1.0,70172160
1318,0.0,11193815
1319,2.0,5437192
