°í°´¹øÈ£,A¹æ¹®È½¼ö,B¹æ¹®È½¼ö,C¹æ¹®È½¼ö,D¹æ¹®È½¼ö,½Å±Ô°í°´,¸íÇ°±¸¸ÅÀÚ
69,1.0,12.0,521.0,0.0,1.0,0.0
70,355.0,1.0,6.0,0.0,1.0,2.0
71,1.0,292.0,20.0,0.0,1.0,0.0
72,21.0,351.0,2.0,0.0,1.0,0.0
73,330.0,20.0,3.0,0.0,1.0,2.0
74,248.0,24.0,19.0,0.0,1.0,2.0
75,441.0,1.0,130.0,0.0,1.0,0.0
76,328.0,56.0,50.0,0.0,1.0,2.0
77,247.0,48.0,0.0,0.0,1.0,2.0
78,391.0,51.0,3.0,0.0,1.0,2.0
79,99.0,202.0,4.0,0.0,1.0,0.0
80,74.0,64.0,500.0,0.0,1.0,0.0
81,416.0,23.0,2.0,0.0,1.0,2.0
82,408.0,188.0,17.0,0.0,1.0,2.0
83,554.0,43.0,0.0,0.0,1.0,2.0
84,186.0,9.0,2.0,0.0,1.0,2.0
85,383.0,0.0,1.0,3.0,1.0,0.0
86,145.0,335.0,3.0,1.0,1.0,2.0
87,256.0,9.0,21.0,0.0,1.0,2.0
88,295.0,188.0,5.0,0.0,1.0,2.0
89,136.0,372.0,77.0,1.0,1.0,0.0
90,307.0,13.0,2.0,0.0,1.0,0.0
91,297.0,12.0,53.0,0.0,1.0,0.0
92,360.0,134.0,90.0,0.0,1.0,2.0
93,423.0,1.0,1.0,0.0,1.0,2.0
94,378.0,56.0,2.0,0.0,1.0,2.0
95,102.0,429.0,20.0,1.0,1.0,2.0
96,253.0,2.0,0.0,0.0,1.0,2.0
97,366.0,5.0,86.0,0.0,1.0,2.0
98,351.0,24.0,0.0,2.0,1.0,2.0
99,527.0,107.0,4.0,0.0,1.0,2.0
100,315.0,42.0,5.0,0.0,1.0,2.0
101,329.0,131.0,7.0,0.0,1.0,0.0
102,384.0,121.0,240.0,0.0,1.0,2.0
103,13.0,17.0,364.0,0.0,1.0,0.0
104,16.0,496.0,7.0,0.0,1.0,0.0
105,21.0,358.0,2.0,0.0,1.0,0.0
106,396.0,4.0,7.0,0.0,1.0,2.0
107,390.0,1.0,58.0,0.0,1.0,0.0
108,397.0,11.0,1.0,0.0,1.0,2.0
109,5.0,5.0,585.0,0.0,1.0,0.0
110,312.0,54.0,53.0,1.0,1.0,0.0
111,3.0,33.0,651.0,0.0,1.0,0.0
112,393.0,60.0,3.0,0.0,1.0,0.0
113,385.0,93.0,2.0,0.0,1.0,2.0
114,278.0,19.0,80.0,2.0,1.0,2.0
115,259.0,0.0,20.0,1.0,1.0,2.0
116,21.0,7.0,634.0,0.0,1.0,0.0
117,263.0,62.0,79.0,3.0,1.0,2.0
118,487.0,2.0,1.0,0.0,1.0,2.0
119,340.0,5.0,38.0,0.0,1.0,2.0
120,582.0,47.0,1.0,0.0,1.0,2.0
121,381.0,101.0,0.0,1.0,1.0,2.0
122,256.0,62.0,1.0,0.0,1.0,2.0
123,9.0,464.0,1.0,0.0,1.0,0.0
124,306.0,3.0,2.0,2.0,1.0,2.0
125,277.0,21.0,1.0,0.0,1.0,2.0
126,119.0,508.0,9.0,0.0,1.0,2.0
127,360.0,69.0,2.0,1.0,1.0,2.0
128,1.0,417.0,11.0,0.0,1.0,0.0
129,7.0,449.0,44.0,0.0,1.0,0.0
130,295.0,1.0,27.0,0.0,1.0,2.0
131,357.0,1.0,131.0,0.0,1.0,2.0
132,28.0,375.0,48.0,0.0,1.0,0.0
133,371.0,54.0,2.0,0.0,1.0,2.0
134,400.0,31.0,12.0,0.0,1.0,2.0
135,360.0,6.0,4.0,1.0,1.0,0.0
136,344.0,2.0,1.0,0.0,1.0,0.0
137,290.0,5.0,157.0,0.0,1.0,2.0
138,243.0,77.0,1.0,0.0,1.0,2.0
139,309.0,101.0,114.0,1.0,1.0,2.0
140,491.0,3.0,14.0,0.0,1.0,2.0
141,1.0,5.0,558.0,0.0,1.0,0.0
142,10.0,3.0,1.0,0.0,1.0,0.0
143,16.0,205.0,0.0,1.0,1.0,0.0
144,29.0,42.0,436.0,0.0,1.0,2.0
145,251.0,6.0,4.0,0.0,1.0,2.0
146,316.0,0.0,0.0,0.0,1.0,2.0
147,330.0,117.0,1.0,0.0,1.0,2.0
148,2.0,2.0,582.0,0.0,1.0,0.0
149,331.0,29.0,16.0,0.0,1.0,2.0
150,45.0,368.0,2.0,0.0,1.0,2.0
151,360.0,45.0,2.0,0.0,1.0,2.0
152,290.0,1.0,89.0,0.0,1.0,2.0
153,499.0,45.0,2.0,1.0,1.0,0.0
154,353.0,40.0,1.0,0.0,1.0,2.0
155,381.0,4.0,1.0,0.0,1.0,2.0
156,370.0,0.0,7.0,0.0,1.0,2.0
157,342.0,1.0,72.0,1.0,1.0,2.0
158,247.0,114.0,5.0,3.0,1.0,0.0
159,317.0,14.0,1.0,0.0,1.0,2.0
160,310.0,105.0,1.0,0.0,1.0,2.0
161,420.0,14.0,1.0,0.0,1.0,2.0
162,302.0,28.0,10.0,0.0,1.0,2.0
163,46.0,4.0,655.0,2.0,1.0,0.0
164,364.0,50.0,10.0,0.0,1.0,2.0
165,273.0,29.0,1.0,0.0,1.0,2.0
166,179.0,44.0,1.0,0.0,1.0,2.0
167,312.0,1.0,0.0,3.0,1.0,2.0
168,317.0,4.0,31.0,0.0,1.0,2.0
169,34.0,270.0,22.0,0.0,1.0,2.0
170,11.0,307.0,1.0,0.0,1.0,0.0
171,447.0,36.0,9.0,0.0,1.0,2.0
172,300.0,72.0,1.0,0.0,1.0,0.0
173,33.0,18.0,477.0,0.0,1.0,2.0
174,4.0,2.0,0.0,0.0,1.0,0.0
175,52.0,328.0,1.0,0.0,1.0,0.0
176,38.0,12.0,578.0,0.0,1.0,0.0
177,307.0,15.0,2.0,0.0,1.0,2.0
178,87.0,473.0,28.0,0.0,1.0,0.0
179,375.0,30.0,0.0,2.0,1.0,2.0
180,341.0,2.0,1.0,0.0,1.0,2.0
181,350.0,11.0,2.0,0.0,1.0,2.0
182,325.0,44.0,0.0,1.0,1.0,2.0
183,5.0,391.0,1.0,0.0,1.0,0.0
184,239.0,35.0,6.0,0.0,1.0,2.0
185,4.0,340.0,3.0,0.0,1.0,0.0
186,301.0,46.0,12.0,0.0,1.0,2.0
187,294.0,37.0,34.0,0.0,1.0,2.0
188,30.0,39.0,499.0,0.0,1.0,0.0
189,402.0,3.0,0.0,21.0,1.0,2.0
190,335.0,1.0,0.0,0.0,1.0,2.0
191,322.0,1.0,2.0,0.0,1.0,2.0
192,492.0,230.0,11.0,1.0,1.0,2.0
193,24.0,267.0,5.0,0.0,1.0,0.0
194,103.0,360.0,0.0,0.0,1.0,0.0
195,1.0,320.0,2.0,0.0,1.0,0.0
196,260.0,54.0,106.0,1.0,1.0,2.0
197,318.0,102.0,2.0,3.0,1.0,2.0
198,206.0,288.0,1.0,0.0,1.0,2.0
199,49.0,523.0,39.0,0.0,1.0,2.0
200,40.0,28.0,397.0,0.0,1.0,0.0
201,361.0,3.0,27.0,0.0,1.0,2.0
202,351.0,0.0,295.0,0.0,1.0,2.0
203,1.0,368.0,1.0,0.0,1.0,0.0
204,191.0,442.0,2.0,0.0,1.0,0.0
205,52.0,429.0,76.0,1.0,1.0,0.0
206,83.0,325.0,94.0,0.0,1.0,2.0
207,4.0,251.0,0.0,1.0,1.0,0.0
208,225.0,18.0,1.0,0.0,1.0,2.0
209,460.0,29.0,10.0,0.0,1.0,2.0
210,27.0,384.0,150.0,0.0,1.0,0.0
211,313.0,4.0,9.0,0.0,1.0,2.0
212,49.0,3.0,500.0,0.0,1.0,2.0
213,196.0,301.0,199.0,0.0,1.0,0.0
214,304.0,1.0,222.0,0.0,1.0,2.0
215,91.0,391.0,0.0,0.0,1.0,2.0
216,25.0,539.0,1.0,0.0,1.0,0.0
217,229.0,17.0,1.0,0.0,1.0,0.0
218,405.0,22.0,0.0,3.0,1.0,2.0
219,381.0,96.0,1.0,0.0,1.0,2.0
220,3.0,287.0,1.0,0.0,1.0,0.0
221,20.0,326.0,3.0,0.0,1.0,0.0
222,267.0,40.0,74.0,0.0,1.0,2.0
223,268.0,3.0,1.0,0.0,1.0,2.0
224,266.0,13.0,0.0,0.0,1.0,2.0
225,279.0,17.0,5.0,0.0,1.0,2.0
226,26.0,400.0,12.0,0.0,1.0,0.0
227,10.0,0.0,420.0,0.0,1.0,0.0
228,16.0,304.0,13.0,0.0,1.0,0.0
229,267.0,3.0,3.0,0.0,1.0,2.0
230,256.0,9.0,1.0,1.0,1.0,2.0
231,12.0,495.0,1.0,0.0,1.0,0.0
232,20.0,1.0,893.0,0.0,1.0,0.0
233,47.0,4.0,502.0,0.0,1.0,2.0
234,415.0,52.0,17.0,0.0,1.0,0.0
235,196.0,3.0,96.0,0.0,1.0,2.0
236,4.0,1.0,522.0,0.0,1.0,0.0
237,365.0,3.0,64.0,1.0,1.0,2.0
238,186.0,2.0,1.0,0.0,1.0,2.0
239,352.0,11.0,4.0,0.0,1.0,2.0
240,396.0,4.0,0.0,6.0,1.0,2.0
241,410.0,5.0,2.0,0.0,1.0,2.0
242,12.0,396.0,2.0,0.0,1.0,0.0
243,54.0,375.0,2.0,0.0,1.0,0.0
244,350.0,0.0,0.0,0.0,1.5,2.0
245,218.0,2.0,161.0,0.0,1.0,0.0
246,315.0,15.0,1.0,0.0,1.0,2.0
247,387.0,128.0,34.0,0.0,1.0,0.0
248,273.0,142.0,27.0,0.0,1.0,0.0
249,330.0,10.0,1.0,1.0,1.0,2.0
250,453.0,9.0,38.0,0.0,1.0,2.0
251,305.0,1.0,34.0,0.0,1.0,2.0
252,343.0,7.0,3.0,1.0,1.0,0.0
253,293.0,0.0,2.0,0.0,1.0,2.0
254,357.0,24.0,3.0,0.0,1.0,2.0
255,358.0,9.0,25.0,0.0,1.0,2.0
256,301.0,11.0,73.0,0.0,1.0,2.0
257,45.0,403.0,31.0,0.0,1.0,0.0
258,351.0,3.0,44.0,0.0,1.0,2.0
259,43.0,418.0,3.0,0.0,1.0,2.0
260,45.0,327.0,12.0,0.0,1.0,0.0
261,275.0,4.0,2.0,1.0,1.0,2.0
262,505.0,12.0,1.0,0.0,1.0,0.0
263,5.0,385.0,58.0,0.0,1.0,0.0
264,33.0,143.0,627.0,0.0,1.0,0.0
265,295.0,0.0,7.0,0.0,1.0,2.0
266,374.0,1.0,37.0,0.0,1.0,2.0
267,294.0,34.0,1.0,0.0,1.0,2.0
268,349.0,57.0,118.0,0.0,1.0,2.0
269,93.0,3.0,738.0,0.0,1.0,2.0
270,14.0,374.0,3.0,0.0,1.0,0.0
271,280.0,2.0,0.0,1.0,1.0,2.0
272,97.0,380.0,0.0,0.0,1.0,2.0
273,458.0,40.0,3.0,0.0,1.0,2.0
274,7.0,403.0,5.0,0.0,1.0,0.0
275,309.0,58.0,618.0,0.0,1.0,2.0
276,14.0,2.0,816.0,0.0,1.0,0.0
277,256.0,331.0,4.0,0.0,1.0,2.0
278,11.0,2.0,558.0,0.0,1.0,0.0
279,318.0,1.0,1.0,0.0,1.0,2.0
280,544.0,15.0,3.0,0.0,1.0,2.0
281,242.0,19.0,207.0,0.0,1.0,2.0
282,332.0,6.0,4.0,0.0,1.0,2.0
283,399.0,1.0,1.0,0.0,1.0,2.0
284,1.0,397.0,1.0,0.0,1.0,0.0
285,256.0,62.0,4.0,0.0,1.0,0.0
286,267.0,78.0,10.0,0.0,1.0,2.0
287,9.0,368.0,2.0,0.0,1.0,0.0
288,175.0,314.0,1.0,0.0,1.0,2.0
289,208.0,51.0,2.0,0.0,1.0,0.0
290,6.0,388.0,0.0,0.0,1.0,0.0
291,5.0,362.0,9.0,0.0,1.0,0.0
292,589.0,21.0,8.0,0.0,1.0,2.0
293,233.0,104.0,1.0,0.0,1.0,2.0
294,214.0,1.0,7.0,1.0,1.0,2.0
295,308.0,17.0,2.0,0.0,1.0,2.0
296,606.0,3.0,89.0,0.0,1.0,2.0
297,198.0,1.0,37.0,0.0,1.0,2.0
298,271.0,3.0,39.0,0.0,1.0,2.0
299,322.0,76.0,1.0,0.0,1.0,2.0
300,4.0,326.0,2.0,0.0,1.0,0.0
301,340.0,8.0,0.0,6.0,1.0,2.0
302,291.0,3.0,22.0,0.0,1.0,2.0
303,177.0,364.0,26.0,3.0,1.0,0.0
304,224.0,11.0,11.0,0.0,1.0,2.0
305,417.0,28.0,356.0,0.0,1.0,2.0
306,314.0,4.0,1.0,0.0,1.0,2.0
307,320.0,32.0,1.0,1.0,1.0,2.0
308,281.0,3.0,31.0,0.0,1.0,2.0
309,311.0,4.0,21.0,0.0,1.0,2.0
310,183.0,294.0,24.0,0.0,1.0,0.0
311,345.0,17.0,17.0,0.0,1.0,2.0
312,7.0,4.0,576.0,0.0,1.0,0.0
313,295.0,85.0,38.0,0.0,1.0,2.0
314,447.0,1.0,3.0,0.0,1.0,2.0
315,489.0,11.0,108.0,0.0,1.0,2.0
316,367.0,39.0,106.0,0.0,1.0,2.0
317,403.0,102.0,76.0,0.0,1.0,2.0
318,301.0,2.0,0.0,0.0,1.0,2.0
319,320.0,1.0,0.0,0.0,1.0,2.0
320,402.0,31.0,9.0,0.0,1.0,2.0
321,363.0,17.0,127.0,0.0,1.0,2.0
322,109.0,374.0,2.0,0.0,1.0,0.0
323,329.0,110.0,48.0,0.0,1.0,2.0
324,426.0,152.0,30.0,0.0,1.0,2.0
325,228.0,28.0,17.0,0.0,1.0,2.0
326,357.0,72.0,0.0,2.0,1.0,2.0
327,305.0,14.0,1.0,0.0,1.0,2.0
328,275.0,3.0,1.0,0.0,1.0,2.0
329,228.0,36.0,94.0,0.0,1.0,2.0
330,100.0,201.0,13.0,0.0,1.0,0.0
331,87.0,474.0,32.0,0.0,1.0,2.0
332,460.0,129.0,185.0,0.0,1.0,2.0
333,278.0,133.0,242.0,0.0,1.0,2.0
334,387.0,0.0,0.0,0.0,1.0,2.0
335,459.0,4.0,26.0,0.0,1.0,2.0
336,79.0,269.0,1.0,0.0,1.0,0.0
337,466.0,19.0,52.0,0.0,1.0,2.0
338,24.0,290.0,8.0,0.0,1.0,0.0
339,1.0,382.0,1.0,0.0,1.0,0.0
340,282.0,9.0,1.0,3.0,1.0,2.0
341,345.0,12.0,4.0,0.0,1.0,2.0
342,0.0,313.0,87.0,0.0,1.0,0.0
343,274.0,0.0,47.0,2.0,1.0,2.0
344,250.0,53.0,0.0,0.0,1.0,2.0
345,250.0,2.0,16.0,0.0,1.0,2.0
346,241.0,3.0,4.0,0.0,1.0,2.0
347,285.0,320.0,3.0,0.0,1.0,2.0
348,1.0,40.0,508.0,0.0,1.0,0.0
349,310.0,147.0,15.0,1.0,1.0,2.0
350,336.0,152.0,3.0,1.0,1.0,2.0
351,258.0,21.0,6.0,0.0,1.0,2.0
352,308.0,58.0,1.0,0.0,1.0,2.0
353,2.0,422.0,3.0,0.0,1.0,0.0
354,2.0,380.0,1.0,0.0,1.0,0.0
355,376.0,265.0,0.0,1.0,1.0,2.0
356,367.0,18.0,5.0,0.0,1.0,2.0
357,31.0,18.0,669.0,0.0,1.0,0.0
358,320.0,3.0,0.0,3.0,1.0,2.0
359,244.0,359.0,40.0,2.0,1.0,2.0
360,29.0,469.0,1.0,0.0,1.0,2.0
361,275.0,45.0,43.0,0.0,1.0,2.0
362,7.0,430.0,1.0,0.0,1.0,0.0
363,388.0,2.0,2.0,0.0,1.0,2.0
364,168.0,288.0,0.0,2.0,1.0,2.0
365,294.0,262.0,1.0,1.0,1.0,2.0
366,1.0,408.0,2.0,0.0,1.0,0.0
367,360.0,3.0,225.0,27.0,1.0,2.0
368,385.0,107.0,110.0,0.0,1.0,2.0
369,308.0,1.0,2.0,0.0,1.0,2.0
370,5.0,348.0,34.0,0.0,1.0,0.0
371,3.0,350.0,1.0,0.0,1.0,0.0
372,24.0,381.0,1.0,0.0,1.0,0.0
373,330.0,135.0,36.0,16.0,1.0,2.0
374,372.0,3.0,1.0,1.0,1.0,2.0
375,412.0,44.0,0.0,1.0,1.0,2.0
376,126.0,169.0,551.0,1.0,1.0,0.0
377,541.0,13.0,2.0,0.0,1.0,2.0
378,273.0,31.0,54.0,0.0,1.0,2.0
379,346.0,0.0,5.0,1.0,1.0,2.0
380,19.0,1.0,463.0,0.0,1.0,2.0
381,273.0,0.0,0.0,0.0,1.0,2.0
382,275.0,20.0,19.0,0.0,1.0,2.0
383,205.0,4.0,9.0,0.0,1.0,2.0
384,5.0,456.0,31.0,0.0,1.0,0.0
385,49.0,442.0,5.0,0.0,1.0,0.0
386,413.0,50.0,49.0,0.0,1.0,2.0
387,333.0,68.0,192.0,0.0,1.0,2.0
388,329.0,32.0,15.0,0.0,1.0,2.0
389,39.0,320.0,9.0,0.0,1.0,0.0
390,8.0,475.0,6.0,0.0,1.0,0.0
391,316.0,146.0,28.0,0.0,1.0,2.0
392,320.0,102.0,26.0,0.0,1.0,0.0
393,318.0,0.0,1.0,0.0,1.0,2.0
394,310.0,0.0,120.0,3.0,1.0,2.0
395,23.0,372.0,3.0,0.0,1.0,2.0
396,353.0,182.0,35.0,0.0,1.0,0.0
397,73.0,435.0,90.0,0.0,1.0,2.0
398,342.0,3.0,68.0,0.0,1.0,2.0
399,317.0,1.0,4.0,0.0,1.0,2.0
400,410.0,7.0,4.0,0.0,1.0,2.0
401,327.0,3.0,1.0,0.0,1.0,2.0
402,255.0,1.0,47.0,0.0,1.0,0.0
403,51.0,274.0,0.0,0.0,1.0,0.0
404,325.0,65.0,4.0,0.0,1.0,2.0
405,357.0,1.0,1.0,0.0,1.0,2.0
406,3.0,372.0,1.0,0.0,1.0,0.0
407,292.0,1.0,4.0,0.0,1.0,2.0
408,314.0,3.0,3.0,0.0,1.0,2.0
409,388.0,25.0,1.0,0.0,1.0,2.0
410,5.0,364.0,4.0,0.0,1.0,0.0
411,447.0,16.0,22.0,0.0,1.0,2.0
412,382.0,21.0,143.0,0.0,1.0,2.0
413,248.0,41.0,30.0,0.0,1.0,2.0
414,320.0,31.0,9.0,0.0,1.0,2.0
415,43.0,496.0,3.0,0.0,1.0,0.0
416,342.0,29.0,1.0,0.0,1.0,2.0
417,328.0,16.0,1.0,1.0,1.0,2.0
418,5.0,341.0,0.0,3.0,1.0,0.0
419,250.0,0.0,0.0,18.0,1.0,2.0
420,211.0,97.0,108.0,0.0,1.0,0.0
421,678.0,275.0,3.0,1.0,1.0,2.0
422,359.0,26.0,2.0,0.0,1.0,2.0
423,397.0,2.0,4.0,0.0,1.0,0.0
424,3.0,3.0,546.0,0.0,1.0,0.0
425,56.0,302.0,13.0,0.0,1.0,2.0
426,353.0,32.0,1.0,0.0,1.0,2.0
427,283.0,3.0,0.0,0.0,1.0,2.0
428,421.0,7.0,0.0,3.0,1.0,2.0
429,248.0,13.0,31.0,0.0,1.0,0.0
430,358.0,1.0,1.0,0.0,1.0,2.0
431,260.0,9.0,84.0,0.0,1.0,0.0
432,271.0,21.0,1.0,0.0,1.0,2.0
433,416.0,65.0,0.0,3.0,1.0,2.0
434,273.0,7.0,127.0,0.0,1.0,2.0
435,355.0,0.0,11.0,0.0,1.0,2.0
436,352.0,11.0,68.0,0.0,1.0,2.0
437,4.0,1.0,493.0,0.0,1.0,0.0
438,266.0,31.0,14.0,0.0,1.0,2.0
439,1.0,4.0,520.0,0.0,1.0,0.0
440,246.0,15.0,1.0,1.0,1.0,2.0
441,291.0,38.0,4.0,0.0,1.0,2.0
442,3.0,175.0,10.0,0.0,1.0,0.0
443,339.0,5.0,26.0,0.0,1.0,2.0
444,303.0,68.0,4.0,0.0,1.0,2.0
445,8.0,353.0,1.0,0.0,1.0,0.0
446,20.0,341.0,26.0,0.0,1.0,2.0
447,348.0,129.0,1.0,0.0,1.0,0.0
448,327.0,27.0,1.0,0.0,1.0,2.0
449,243.0,371.0,0.0,1.0,1.0,2.0
450,360.0,78.0,64.0,0.0,1.0,2.0
451,296.0,139.0,1.0,0.0,1.0,2.0
452,5.0,3.0,493.0,0.0,1.0,2.0
453,345.0,115.0,5.0,0.0,1.0,2.0
454,114.0,447.0,29.0,0.0,1.0,0.0
455,226.0,1.0,145.0,0.0,1.0,2.0
456,104.0,15.0,488.0,1.0,1.0,2.0
457,840.0,52.0,588.0,0.0,1.0,2.0
458,59.0,362.0,4.0,0.0,1.0,0.0
459,275.0,4.0,0.0,5.0,1.0,2.0
460,175.0,2.0,17.0,0.0,1.0,2.0
461,227.0,52.0,5.0,2.0,1.0,2.0
462,403.0,3.0,98.0,0.0,1.0,2.0
463,425.0,0.0,0.0,0.0,1.0,2.0
464,105.0,292.0,2.0,0.0,1.0,2.0
465,75.0,397.0,2.0,0.0,1.0,0.0
466,453.0,25.0,2.0,0.0,1.0,2.0
467,250.0,373.0,76.0,10.0,1.0,2.0
468,302.0,55.0,1.0,0.0,1.0,0.0
469,243.0,3.0,0.0,3.0,1.0,2.0
470,12.0,338.0,227.0,0.0,1.0,0.0
471,312.0,4.0,13.0,0.0,1.0,2.0
472,10.0,353.0,6.0,0.0,1.0,0.0
473,17.0,335.0,1.0,0.0,1.0,0.0
474,383.0,224.0,3.0,0.0,1.0,2.0
475,46.0,397.0,64.0,0.0,1.0,2.0
476,1.0,0.0,413.0,0.0,1.0,0.0
477,292.0,82.0,4.0,0.0,1.0,2.0
478,313.0,47.0,21.0,0.0,1.0,2.0
479,137.0,331.0,96.0,0.0,1.0,2.0
480,318.0,39.0,1.0,0.0,1.0,0.0
481,314.0,73.0,0.0,1.0,1.0,2.0
482,93.0,436.0,34.0,0.0,1.0,0.0
483,430.0,3.0,1.0,0.0,1.0,2.0
484,376.0,1.0,2.0,0.0,1.0,2.0
485,290.0,15.0,0.0,0.0,1.0,2.0
486,542.0,1.0,1.0,0.0,1.0,2.0
487,1.0,497.0,0.0,2.0,1.0,0.0
488,5.0,0.0,427.0,3.0,1.0,0.0
489,366.0,6.0,78.0,0.0,1.0,0.0
490,295.0,1.0,1.0,0.0,1.0,2.0
491,67.0,2.0,551.0,0.0,1.0,0.0
492,355.0,0.0,1.0,1.0,1.0,2.0
493,29.0,440.0,11.0,0.0,1.0,0.0
494,286.0,25.0,5.0,0.0,1.0,2.0
495,30.0,1.0,542.0,0.0,1.0,2.0
496,575.0,38.0,1.0,2.0,1.0,0.0
497,4.0,401.0,108.0,0.0,1.0,0.0
498,79.0,270.0,1.0,0.0,1.0,2.0
499,1.0,337.0,2.0,0.0,1.0,0.0
500,354.0,17.0,315.0,3.0,1.0,2.0
501,305.0,7.0,1.0,0.0,1.0,2.0
502,225.0,2.0,261.0,0.0,1.0,2.0
503,386.0,39.0,682.0,8.0,1.0,2.0
504,332.0,38.0,1.0,1.0,1.0,2.0
505,350.0,144.0,1.0,0.0,1.0,2.0
506,147.0,370.0,5.0,0.0,1.0,0.0
507,266.0,4.0,7.0,0.0,1.0,0.0
508,336.0,30.0,1.0,0.0,1.0,2.0
509,299.0,3.0,4.0,0.0,1.0,2.0
510,294.0,95.0,24.0,0.0,1.0,2.0
511,11.0,346.0,3.0,0.0,1.0,0.0
512,1.0,364.0,3.0,0.0,1.0,0.0
513,342.0,0.0,1.0,0.0,1.0,2.0
514,52.0,437.0,9.0,0.0,1.0,2.0
515,272.0,5.0,13.0,0.0,1.0,2.0
516,59.0,341.0,5.0,0.0,1.0,0.0
517,346.0,19.0,9.0,0.0,1.0,2.0
518,534.0,134.0,3.0,0.0,1.0,2.0
519,339.0,69.0,0.0,1.0,1.0,2.0
520,313.0,3.0,1.0,0.0,1.0,2.0
521,335.0,203.0,1.0,0.0,1.0,2.0
522,122.0,351.0,3.0,0.0,1.0,0.0
523,2.0,4.0,500.0,0.0,1.0,0.0
524,130.0,353.0,4.0,0.0,1.0,2.0
525,353.0,43.0,1.0,2.0,1.0,2.0
526,337.0,19.0,332.0,0.0,1.0,2.0
527,9.0,4.0,435.0,0.0,1.0,0.0
528,1.0,279.0,1.0,0.0,1.0,0.0
529,439.0,167.0,3.0,0.0,1.0,2.0
530,296.0,2.0,9.0,0.0,1.0,0.0
